Energibalanse,Energibalanse_label,EnergiProdukt,EnergiProdukt_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),1990,1990,102.7,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),1991,1991,101.0,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),1992,1992,101.4,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),1993,1993,103.7,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),1994,1994,102.3,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),1995,1995,103.7,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),1996,1996,108.8,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),1997,1997,108.7,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),1998,1998,111.9,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),1999,1999,117.6,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2000,2000,115.3,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2001,2001,122.2,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2002,2002,123.3,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2003,2003,125.2,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2004,2004,129.4,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2005,2005,131.6,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2006,2006,135.5,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2007,2007,139.5,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2008,2008,139.5,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2009,2009,137.9,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2010,2010,141.9,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2011,2011,140.8,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2012,2012,141.8,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2013,2013,142.2,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2014,2014,145.1,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2015,2015,146.7,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2016,2016,150.8,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2017,2017,147.6,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2018,2018,146.1,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2019,2019,142.6,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2020,2020,135.1,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2021,2021,140.8,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2022,2022,141.9,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2023,2023,135.2,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2024,2024,129.9,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2025,2025,121.9,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),1990,1990,28524.0,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),1991,1991,28062.0,
