Region,Region_label,Kjopegrupper,Kjopegrupper_label,PetroleumProd,PetroleumProd_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2010M01,2010M01,724,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2010M02,2010M02,738,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2010M03,2010M03,786,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2010M04,2010M04,657,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2010M05,2010M05,755,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2010M06,2010M06,824,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2010M07,2010M07,777,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2010M08,2010M08,832,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2010M09,2010M09,811,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2010M10,2010M10,801,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2010M11,2010M11,825,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2010M12,2010M12,802,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2011M01,2011M01,746,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2011M02,2011M02,698,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2011M03,2011M03,744,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2011M04,2011M04,687,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2011M05,2011M05,796,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2011M06,2011M06,816,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2011M07,2011M07,769,
