Tid,Alle energiprodukter,Autodiesel  (ekskl. bio),Bensin  (ekskl. bio),Biobrensler,Biogass,Elektrisitet,Flytende biobrensler,LPG og etan,Naturgass,Olje og oljeprodukter (ekskl. bio)
1990,28524.0,7333.0,21191.0,,,,,,,28524.0
1991,28062.0,7479.0,20582.0,,,,,,,28062.0
1992,28163.0,8072.0,20092.0,,,,,,,28163.0
1993,28806.0,8934.0,19871.0,,,,,,,28806.0
1994,28410.0,8741.0,19669.0,,,,,,,28410.0
1995,28797.0,9525.0,19272.0,,,,,,,28797.0
1996,30234.0,10221.0,20012.0,,,,,,0.0,30234.0
1997,30192.0,10511.0,19679.0,,,,,,2.0,30190.0
1998,31073.0,11175.0,19895.0,,,,,,2.0,31070.0
1999,32672.0,12915.0,19754.0,,,,,,3.0,32669.0
2000,32039.0,12872.0,19161.0,,,,,,6.0,32033.0
2001,33933.0,14025.0,19893.0,,,,,,15.0,33918.0
2002,34237.0,14457.0,19721.0,,,,,38.0,20.0,34217.0
2003,34789.0,15222.0,19500.0,,,,,38.0,28.0,34760.0
2004,35943.0,16469.0,19385.0,16.0,,,16.0,45.0,27.0,35899.0
2005,36542.0,17780.0,18674.0,32.0,,3.0,32.0,34.0,19.0,36488.0
2006,37645.0,19560.0,17950.0,64.0,,3.0,64.0,39.0,30.0,37549.0
2007,38751.0,21319.0,16997.0,353.0,,3.0,353.0,49.0,30.0,38365.0
2008,38753.0,21831.0,15894.0,939.0,,3.0,939.0,48.0,38.0,37773.0
2009,38299.0,22189.0,14908.0,1108.0,,4.0,1108.0,50.0,40.0,37147.0
2010,39428.0,23906.0,14016.0,1351.0,1.0,4.0,1350.0,100.0,52.0,38022.0
2011,39117.0,24943.0,12694.0,1344.0,7.0,6.0,1337.0,70.0,59.0,37707.0
2012,39386.0,25826.0,11803.0,1549.0,12.0,14.0,1537.0,60.0,135.0,37689.0
2013,39504.0,26772.0,10969.0,1495.0,10.0,22.0,1484.0,82.0,163.0,37823.0
2014,40300.0,28077.0,10414.0,1490.0,7.0,64.0,1483.0,85.0,170.0,38576.0
2015,40745.0,28867.0,9771.0,1758.0,116.0,162.0,1642.0,68.0,120.0,38706.0
2016,41892.0,28383.0,9172.0,3848.0,125.0,272.0,3723.0,93.0,124.0,37648.0
2017,41008.0,25363.0,8880.0,6116.0,118.0,417.0,5998.0,78.0,153.0,34321.0
2018,40570.0,26661.0,8510.0,4606.0,219.0,636.0,4387.0,76.0,80.0,35248.0
2019,39603.0,24936.0,7783.0,5862.0,265.0,858.0,5597.0,70.0,93.0,32789.0
2020,37540.0,24042.0,7317.0,4982.0,285.0,1089.0,4697.0,67.0,43.0,31426.0
2021,39110.0,25930.0,6694.0,4877.0,338.0,1524.0,4539.0,79.0,6.0,32703.0
2022,39418.0,25911.0,6795.0,4629.0,362.0,2002.0,4267.0,80.0,2.0,32786.0
2023,37546.0,24343.0,5690.0,4929.0,411.0,2472.0,4518.0,102.0,10.0,30136.0
2024,36079.0,22303.0,5878.0,5036.0,463.0,2783.0,4573.0,74.0,5.0,28255.0
2025,33858.0,20742.0,5133.0,4612.0,464.0,3309.0,4148.0,62.0,1.0,25936.0
