aar,19,20,21,6,sum,el_andel_pct
1995,7,110612,0,0,110619,0.0063280268308337625
1996,48,158913,0,0,158961,0.030196085832373976
1997,26,165726,0,0,165752,0.015686085235773927
1998,40,151240,0,0,151280,0.026441036488630353
1999,85,134622,0,0,134707,0.06309991314482544
2000,198,138550,0,0,138748,0.14270475970824806
2001,159,133616,0,0,133775,0.11885628854419734
2002,254,129567,0,0,129821,0.19565401591422035
2003,219,128588,0,0,128807,0.17002181558455676
2004,127,154994,0,0,155121,0.08187157122504367
2005,138,150764,0,0,150902,0.09145008018449059
2006,212,154006,0,0,154218,0.1374677404712809
2007,111,172586,1,0,172698,0.06427405065490047
2008,275,144138,2,0,144415,0.19042343246892637
2009,182,127478,2,0,127662,0.1425639579514656
2010,407,160392,154,4,160957,0.25286256577843774
2011,2043,165796,1502,0,169341,1.2064414406434354
2012,4247,161931,4977,0,171155,2.481376530045865
2013,9974,153513,10306,1,173794,5.738978330667342
2014,21151,135571,12585,1,169308,12.492617005693765
2015,30903,120333,21492,0,172728,17.89113519522023
2016,29509,100941,40792,1,171243,17.232237230134956
2017,41628,83635,54603,0,179866,23.14389601147521
2018,58024,64621,46910,0,169555,34.22134410663207
2019,66222,48891,40788,0,155901,42.47695653010564
2020,82211,25014,46621,0,153846,53.437203437203436
2021,124216,15489,54912,0,194617,63.82587338207865
2022,152770,10780,29297,0,192847,79.21824036671559
2023,106341,5950,18758,0,131049,81.14598356339995
2024,118150,5207,11316,0,134673,87.73102255091963
2025,174922,4218,5565,0,184705,94.70344603557024
2026,82515,2439,1288,0,86242,95.67843973933815
