,bensin_03687,bensin_11174,diesel_03687,autodiesel_11174,anleggsdiesel_11174,dieselsum_11174,total_03687,total_11174
2010M01,124.0,124.0,258.0,190.0,69.0,259.0,775.0,724.0
2010M02,118.0,118.0,259.0,189.0,70.0,259.0,784.0,738.0
2010M03,135.0,135.0,280.0,211.0,69.0,280.0,833.0,786.0
2010M04,128.0,128.0,246.0,189.0,57.0,246.0,694.0,657.0
2010M05,143.0,143.0,261.0,201.0,61.0,262.0,790.0,755.0
2010M06,151.0,151.0,294.0,227.0,66.0,293.0,864.0,824.0
2010M07,157.0,157.0,262.0,209.0,53.0,262.0,807.0,777.0
2010M08,152.0,152.0,288.0,217.0,70.0,287.0,868.0,832.0
2010M09,134.0,134.0,288.0,220.0,68.0,288.0,850.0,811.0
2010M10,131.0,131.0,295.0,222.0,74.0,296.0,841.0,801.0
2010M11,122.0,122.0,321.0,225.0,96.0,321.0,872.0,825.0
2010M12,130.0,130.0,306.0,223.0,83.0,306.0,857.0,802.0
2011M01,115.0,115.0,271.0,200.0,71.0,271.0,785.0,746.0
2011M02,110.0,110.0,272.0,200.0,73.0,273.0,746.0,698.0
2011M03,119.0,119.0,293.0,220.0,73.0,293.0,785.0,744.0
2011M04,122.0,122.0,252.0,193.0,59.0,252.0,719.0,687.0
2011M05,133.0,133.0,296.0,227.0,68.0,295.0,831.0,796.0
2011M06,139.0,139.0,294.0,227.0,66.0,293.0,850.0,816.0
2011M07,142.0,142.0,271.0,211.0,59.0,270.0,795.0,769.0
2011M08,141.0,141.0,310.0,236.0,74.0,310.0,874.0,840.0
2011M09,122.0,122.0,298.0,228.0,70.0,298.0,847.0,811.0
2011M10,123.0,123.0,312.0,234.0,77.0,311.0,839.0,806.0
2011M11,111.0,111.0,310.0,224.0,85.0,309.0,807.0,768.0
2011M12,114.0,114.0,283.0,219.0,64.0,283.0,725.0,692.0
2012M01,108.0,108.0,286.0,217.0,70.0,287.0,738.0,701.0
2012M02,105.0,105.0,284.0,213.0,71.0,284.0,736.0,695.0
2012M03,111.0,111.0,284.0,220.0,64.0,284.0,789.0,756.0
2012M04,113.0,113.0,263.0,203.0,60.0,263.0,696.0,669.0
2012M05,131.0,131.0,317.0,240.0,77.0,317.0,845.0,817.0
2012M06,123.0,123.0,305.0,233.0,72.0,305.0,862.0,833.0
2012M07,134.0,134.0,287.0,224.0,63.0,287.0,801.0,774.0
2012M08,129.0,129.0,311.0,238.0,73.0,311.0,837.0,841.0
2012M09,114.0,114.0,305.0,232.0,73.0,305.0,831.0,799.0
2012M10,115.0,115.0,331.0,249.0,82.0,331.0,869.0,833.0
2012M11,107.0,107.0,311.0,230.0,80.0,310.0,798.0,762.0
2012M12,103.0,103.0,306.0,228.0,78.0,306.0,730.0,676.0
2013M01,101.0,101.0,309.0,226.0,83.0,309.0,726.0,726.0
2013M02,95.0,95.0,282.0,212.0,70.0,282.0,674.0,674.0
2013M03,107.0,107.0,286.0,222.0,64.0,286.0,692.0,692.0
2013M04,106.0,106.0,305.0,231.0,74.0,305.0,740.0,740.0
2013M05,117.0,117.0,311.0,234.0,77.0,311.0,771.0,771.0
2013M06,122.0,122.0,319.0,247.0,72.0,319.0,835.0,835.0
2013M07,131.0,131.0,300.0,232.0,67.0,299.0,775.0,775.0
2013M08,120.0,120.0,323.0,244.0,79.0,323.0,803.0,803.0
2013M09,110.0,110.0,317.0,244.0,73.0,317.0,796.0,796.0
2013M10,104.0,105.0,334.0,254.0,81.0,335.0,786.0,788.0
2013M11,95.0,95.0,321.0,235.0,84.0,319.0,723.0,731.0
2013M12,99.0,99.0,313.0,221.0,92.0,313.0,697.0,695.0
2014M01,93.0,93.0,288.0,228.0,60.0,288.0,650.0,650.0
2014M02,86.0,86.0,274.0,211.0,63.0,274.0,627.0,627.0
2014M03,100.0,100.0,298.0,235.0,62.0,297.0,677.0,677.0
2014M04,102.0,102.0,289.0,222.0,67.0,289.0,657.0,657.0
2014M05,111.0,111.0,314.0,243.0,71.0,314.0,690.0,725.0
2014M06,119.0,119.0,336.0,254.0,82.0,336.0,782.0,782.0
2014M07,123.0,123.0,292.0,233.0,60.0,293.0,743.0,743.0
