Tid,1,2,3,4,5,6,sum,el_andel_pct
2008,1596852.0,597391.0,21.0,24.0,1693.0,126.0,2196107.0,0.07709096141490374
2009,1550434.0,690560.0,23.0,24.0,1776.0,131.0,2242948.0,0.07918150576830137
2010,1500841.0,804384.0,21.0,27.0,2068.0,144.0,2307485.0,0.08962138432102483
2011,1448232.0,922986.0,20.0,38.0,3909.0,180.0,2375365.0,0.16456418276770096
2012,1408198.0,1025220.0,17.0,36.0,8031.0,357.0,2441859.0,0.32888876876183265
2013,1368625.0,1110621.0,18.0,87.0,17770.0,2070.0,2499191.0,0.7110300893369094
2014,1328380.0,1186194.0,16.0,120.0,38652.0,999.0,2554361.0,1.5131768767218101
2015,1295739.0,1243235.0,13.0,129.0,69134.0,1013.0,2609263.0,2.6495604314321706
2016,1196148.0,1276947.0,9.0,116.0,97532.0,91054.0,2661806.0,3.664128790753346
2017,1139998.0,1294493.0,8.0,169.0,138983.0,144630.0,2718281.0,5.112900395507308
2018,1075179.0,1290442.0,11.0,223.0,195351.0,189650.0,2750856.0,7.10146223575498
2019,1031207.0,1281019.0,13.0,233.0,260692.0,226926.0,2800090.0,9.310129317271945
2020,950131.0,1246671.0,16.0,224.0,340002.0,272314.0,2809358.0,12.102480353162537
2021,891950.0,1204097.0,13.0,218.0,460734.0,324089.0,2881101.0,15.99159487987405
2022,822133.0,1135538.0,8.0,195.0,599169.0,348969.0,2906012.0,20.618256221928885
2023,760010.0,1065135.0,5.0,179.0,689169.0,362194.0,2876692.0,23.956996438965312
2024,715217.0,1005761.0,3.0,162.0,788750.0,369835.0,2879728.0,27.389739586516505
2025,676614.0,942780.0,3.0,155.0,945182.0,371004.0,2935738.0,32.19572046279334
