gruppe,periode,bestand_under_4_aar,sum_forstegangsreg_4_aar,dekningsforhold,etter_brudd,merknad
personbiler,2008,362379,622233,0.5823847336930057,False,"forholdet hopper mellom 2023 og 2024 uten at tabellens noter omtaler det; aldersdefinisjonen er lagt om, og kohortsporing over grensen er ugyldig"
personbiler,2009,351888,598993,0.5874659637090918,False,"forholdet hopper mellom 2023 og 2024 uten at tabellens noter omtaler det; aldersdefinisjonen er lagt om, og kohortsporing over grensen er ugyldig"
personbiler,2010,351352,605732,0.5800453005619647,False,"forholdet hopper mellom 2023 og 2024 uten at tabellens noter omtaler det; aldersdefinisjonen er lagt om, og kohortsporing over grensen er ugyldig"
personbiler,2011,381324,602375,0.6330342394687695,False,"forholdet hopper mellom 2023 og 2024 uten at tabellens noter omtaler det; aldersdefinisjonen er lagt om, og kohortsporing over grensen er ugyldig"
personbiler,2012,427262,629115,0.6791476915985154,False,"forholdet hopper mellom 2023 og 2024 uten at tabellens noter omtaler det; aldersdefinisjonen er lagt om, og kohortsporing over grensen er ugyldig"
personbiler,2013,447228,675247,0.6623176408040317,False,"forholdet hopper mellom 2023 og 2024 uten at tabellens noter omtaler det; aldersdefinisjonen er lagt om, og kohortsporing over grensen er ugyldig"
personbiler,2014,451280,683598,0.6601540671564282,False,"forholdet hopper mellom 2023 og 2024 uten at tabellens noter omtaler det; aldersdefinisjonen er lagt om, og kohortsporing over grensen er ugyldig"
personbiler,2015,459093,686985,0.6682722330181882,False,"forholdet hopper mellom 2023 og 2024 uten at tabellens noter omtaler det; aldersdefinisjonen er lagt om, og kohortsporing over grensen er ugyldig"
personbiler,2016,464514,687073,0.6760766323229118,False,"forholdet hopper mellom 2023 og 2024 uten at tabellens noter omtaler det; aldersdefinisjonen er lagt om, og kohortsporing over grensen er ugyldig"
personbiler,2017,480646,693145,0.6934277820658016,False,"forholdet hopper mellom 2023 og 2024 uten at tabellens noter omtaler det; aldersdefinisjonen er lagt om, og kohortsporing over grensen er ugyldig"
personbiler,2018,475899,693392,0.6863347139857396,False,"forholdet hopper mellom 2023 og 2024 uten at tabellens noter omtaler det; aldersdefinisjonen er lagt om, og kohortsporing over grensen er ugyldig"
personbiler,2019,461256,676565,0.6817615454538736,False,"forholdet hopper mellom 2023 og 2024 uten at tabellens noter omtaler det; aldersdefinisjonen er lagt om, og kohortsporing over grensen er ugyldig"
personbiler,2020,442718,659168,0.6716315112384096,False,"forholdet hopper mellom 2023 og 2024 uten at tabellens noter omtaler det; aldersdefinisjonen er lagt om, og kohortsporing over grensen er ugyldig"
personbiler,2021,471663,673919,0.699880846214456,False,"forholdet hopper mellom 2023 og 2024 uten at tabellens noter omtaler det; aldersdefinisjonen er lagt om, og kohortsporing over grensen er ugyldig"
personbiler,2022,503906,697211,0.7227453382118182,False,"forholdet hopper mellom 2023 og 2024 uten at tabellens noter omtaler det; aldersdefinisjonen er lagt om, og kohortsporing over grensen er ugyldig"
personbiler,2023,479566,672359,0.713258839399785,False,"forholdet hopper mellom 2023 og 2024 uten at tabellens noter omtaler det; aldersdefinisjonen er lagt om, og kohortsporing over grensen er ugyldig"
personbiler,2024,602843,653186,0.9229270070087234,True,"forholdet hopper mellom 2023 og 2024 uten at tabellens noter omtaler det; aldersdefinisjonen er lagt om, og kohortsporing over grensen er ugyldig"
personbiler,2025,601956,643274,0.9357692056573094,True,"forholdet hopper mellom 2023 og 2024 uten at tabellens noter omtaler det; aldersdefinisjonen er lagt om, og kohortsporing over grensen er ugyldig"
varebiler,2008,122389,133661,0.9156672477386822,False,"forholdet hopper mellom 2023 og 2024 uten at tabellens noter omtaler det; aldersdefinisjonen er lagt om, og kohortsporing over grensen er ugyldig"
varebiler,2009,103222,127030,0.8125797055813587,False,"forholdet hopper mellom 2023 og 2024 uten at tabellens noter omtaler det; aldersdefinisjonen er lagt om, og kohortsporing over grensen er ugyldig"
