kontroll,gruppe,kategori,periode,antall_14020,antall_12906,avvik_antall,avvik_pct,merknad
tilgangskilde_14020_mot_12906,personbiler,i_alt,2019,155901,157747,1846,1.1840847717461633,"de to førstegangsregistreringstabellene beskriver samme populasjon, men med hvert sitt drivstoffkodeverk: 14020 har fire aggregerte kategorier, 12906 har SSBs detaljerte klassifikasjon — den samme som bestandstabellen 07849 bruker. Et forholdstall mellom tilgang og bestand skal derfor bygges på 12906 (D-0036). To ulike avvik ligger i tabellen. Det ene er systematisk: fossilkategorien skiller seg med 67–133 kjøretøy hvert år fra 2020, et nesten konstant antall, mens den relative forskjellen vokser fra 0,5 til 2,8 prosent fordi den fossile tilgangen kollapser under den. Det andre gjelder totalen og opptrer bare i randårene 2019 og 2025 (1,2 og 1,4 prosent); mekanismen bak det er ikke identifisert fra det som er hentet, og noteres framfor å bli glattet"
tilgangskilde_14020_mot_12906,personbiler,i_alt,2020,153846,153740,-106,-0.0689000689000685,"de to førstegangsregistreringstabellene beskriver samme populasjon, men med hvert sitt drivstoffkodeverk: 14020 har fire aggregerte kategorier, 12906 har SSBs detaljerte klassifikasjon — den samme som bestandstabellen 07849 bruker. Et forholdstall mellom tilgang og bestand skal derfor bygges på 12906 (D-0036). To ulike avvik ligger i tabellen. Det ene er systematisk: fossilkategorien skiller seg med 67–133 kjøretøy hvert år fra 2020, et nesten konstant antall, mens den relative forskjellen vokser fra 0,5 til 2,8 prosent fordi den fossile tilgangen kollapser under den. Det andre gjelder totalen og opptrer bare i randårene 2019 og 2025 (1,2 og 1,4 prosent); mekanismen bak det er ikke identifisert fra det som er hentet, og noteres framfor å bli glattet"
tilgangskilde_14020_mot_12906,personbiler,i_alt,2021,194617,194512,-105,-0.053952121346023674,"de to førstegangsregistreringstabellene beskriver samme populasjon, men med hvert sitt drivstoffkodeverk: 14020 har fire aggregerte kategorier, 12906 har SSBs detaljerte klassifikasjon — den samme som bestandstabellen 07849 bruker. Et forholdstall mellom tilgang og bestand skal derfor bygges på 12906 (D-0036). To ulike avvik ligger i tabellen. Det ene er systematisk: fossilkategorien skiller seg med 67–133 kjøretøy hvert år fra 2020, et nesten konstant antall, mens den relative forskjellen vokser fra 0,5 til 2,8 prosent fordi den fossile tilgangen kollapser under den. Det andre gjelder totalen og opptrer bare i randårene 2019 og 2025 (1,2 og 1,4 prosent); mekanismen bak det er ikke identifisert fra det som er hentet, og noteres framfor å bli glattet"
tilgangskilde_14020_mot_12906,personbiler,i_alt,2022,192847,192829,-18,-0.009333824223345388,"de to førstegangsregistreringstabellene beskriver samme populasjon, men med hvert sitt drivstoffkodeverk: 14020 har fire aggregerte kategorier, 12906 har SSBs detaljerte klassifikasjon — den samme som bestandstabellen 07849 bruker. Et forholdstall mellom tilgang og bestand skal derfor bygges på 12906 (D-0036). To ulike avvik ligger i tabellen. Det ene er systematisk: fossilkategorien skiller seg med 67–133 kjøretøy hvert år fra 2020, et nesten konstant antall, mens den relative forskjellen vokser fra 0,5 til 2,8 prosent fordi den fossile tilgangen kollapser under den. Det andre gjelder totalen og opptrer bare i randårene 2019 og 2025 (1,2 og 1,4 prosent); mekanismen bak det er ikke identifisert fra det som er hentet, og noteres framfor å bli glattet"
tilgangskilde_14020_mot_12906,personbiler,i_alt,2023,131049,130973,-76,-0.057993574922354796,"de to førstegangsregistreringstabellene beskriver samme populasjon, men med hvert sitt drivstoffkodeverk: 14020 har fire aggregerte kategorier, 12906 har SSBs detaljerte klassifikasjon — den samme som bestandstabellen 07849 bruker. Et forholdstall mellom tilgang og bestand skal derfor bygges på 12906 (D-0036). To ulike avvik ligger i tabellen. Det ene er systematisk: fossilkategorien skiller seg med 67–133 kjøretøy hvert år fra 2020, et nesten konstant antall, mens den relative forskjellen vokser fra 0,5 til 2,8 prosent fordi den fossile tilgangen kollapser under den. Det andre gjelder totalen og opptrer bare i randårene 2019 og 2025 (1,2 og 1,4 prosent); mekanismen bak det er ikke identifisert fra det som er hentet, og noteres framfor å bli glattet"
tilgangskilde_14020_mot_12906,personbiler,i_alt,2024,134673,134603,-70,-0.0519777535214927,"de to førstegangsregistreringstabellene beskriver samme populasjon, men med hvert sitt drivstoffkodeverk: 14020 har fire aggregerte kategorier, 12906 har SSBs detaljerte klassifikasjon — den samme som bestandstabellen 07849 bruker. Et forholdstall mellom tilgang og bestand skal derfor bygges på 12906 (D-0036). To ulike avvik ligger i tabellen. Det ene er systematisk: fossilkategorien skiller seg med 67–133 kjøretøy hvert år fra 2020, et nesten konstant antall, mens den relative forskjellen vokser fra 0,5 til 2,8 prosent fordi den fossile tilgangen kollapser under den. Det andre gjelder totalen og opptrer bare i randårene 2019 og 2025 (1,2 og 1,4 prosent); mekanismen bak det er ikke identifisert fra det som er hentet, og noteres framfor å bli glattet"
tilgangskilde_14020_mot_12906,personbiler,i_alt,2025,184705,187342,2637,1.4276819793725082,"de to førstegangsregistreringstabellene beskriver samme populasjon, men med hvert sitt drivstoffkodeverk: 14020 har fire aggregerte kategorier, 12906 har SSBs detaljerte klassifikasjon — den samme som bestandstabellen 07849 bruker. Et forholdstall mellom tilgang og bestand skal derfor bygges på 12906 (D-0036). To ulike avvik ligger i tabellen. Det ene er systematisk: fossilkategorien skiller seg med 67–133 kjøretøy hvert år fra 2020, et nesten konstant antall, mens den relative forskjellen vokser fra 0,5 til 2,8 prosent fordi den fossile tilgangen kollapser under den. Det andre gjelder totalen og opptrer bare i randårene 2019 og 2025 (1,2 og 1,4 prosent); mekanismen bak det er ikke identifisert fra det som er hentet, og noteres framfor å bli glattet"
tilgangskilde_14020_mot_12906,personbiler,nullutslipp,2019,66222,67080,858,1.2956419316843437,"de to førstegangsregistreringstabellene beskriver samme populasjon, men med hvert sitt drivstoffkodeverk: 14020 har fire aggregerte kategorier, 12906 har SSBs detaljerte klassifikasjon — den samme som bestandstabellen 07849 bruker. Et forholdstall mellom tilgang og bestand skal derfor bygges på 12906 (D-0036). To ulike avvik ligger i tabellen. Det ene er systematisk: fossilkategorien skiller seg med 67–133 kjøretøy hvert år fra 2020, et nesten konstant antall, mens den relative forskjellen vokser fra 0,5 til 2,8 prosent fordi den fossile tilgangen kollapser under den. Det andre gjelder totalen og opptrer bare i randårene 2019 og 2025 (1,2 og 1,4 prosent); mekanismen bak det er ikke identifisert fra det som er hentet, og noteres framfor å bli glattet"
tilgangskilde_14020_mot_12906,personbiler,nullutslipp,2020,82211,82241,30,0.036491467078625384,"de to førstegangsregistreringstabellene beskriver samme populasjon, men med hvert sitt drivstoffkodeverk: 14020 har fire aggregerte kategorier, 12906 har SSBs detaljerte klassifikasjon — den samme som bestandstabellen 07849 bruker. Et forholdstall mellom tilgang og bestand skal derfor bygges på 12906 (D-0036). To ulike avvik ligger i tabellen. Det ene er systematisk: fossilkategorien skiller seg med 67–133 kjøretøy hvert år fra 2020, et nesten konstant antall, mens den relative forskjellen vokser fra 0,5 til 2,8 prosent fordi den fossile tilgangen kollapser under den. Det andre gjelder totalen og opptrer bare i randårene 2019 og 2025 (1,2 og 1,4 prosent); mekanismen bak det er ikke identifisert fra det som er hentet, og noteres framfor å bli glattet"
tilgangskilde_14020_mot_12906,personbiler,nullutslipp,2021,124216,124234,18,0.014490886842266626,"de to førstegangsregistreringstabellene beskriver samme populasjon, men med hvert sitt drivstoffkodeverk: 14020 har fire aggregerte kategorier, 12906 har SSBs detaljerte klassifikasjon — den samme som bestandstabellen 07849 bruker. Et forholdstall mellom tilgang og bestand skal derfor bygges på 12906 (D-0036). To ulike avvik ligger i tabellen. Det ene er systematisk: fossilkategorien skiller seg med 67–133 kjøretøy hvert år fra 2020, et nesten konstant antall, mens den relative forskjellen vokser fra 0,5 til 2,8 prosent fordi den fossile tilgangen kollapser under den. Det andre gjelder totalen og opptrer bare i randårene 2019 og 2025 (1,2 og 1,4 prosent); mekanismen bak det er ikke identifisert fra det som er hentet, og noteres framfor å bli glattet"
