kontroll,periode,bestandsvariabel,kobling,bestand_3112,implisitt_i_bruk,avvik_pct
bestand_mot_aktivitet,2008,Personbil1,kun personbiler (20),2196107,2327766.791181425,5.995144643745731
bestand_mot_aktivitet,2009,Personbil1,kun personbiler (20),2242948,2361790.3117791503,5.298487159717946
bestand_mot_aktivitet,2010,Personbil1,kun personbiler (20),2307485,2433445.0708517446,5.4587601155259735
bestand_mot_aktivitet,2011,Personbil1,kun personbiler (20),2375365,2508383.885518743,5.5999345582149695
bestand_mot_aktivitet,2012,Personbil1,kun personbiler (20),2441859,2576929.060360921,5.531443886027865
bestand_mot_aktivitet,2013,Personbil1,kun personbiler (20),2499191,2643646.496815286,5.780090309835706
bestand_mot_aktivitet,2014,Personbil1,kun personbiler (20),2554361,2692718.4071515645,5.416517365852536
bestand_mot_aktivitet,2015,Personbil1,kun personbiler (20),2609263,2746260.613977792,5.250433320741998
bestand_mot_aktivitet,2016,Personbil1,kun personbiler (20),2661806,2798658.7673825393,5.141350172872827
bestand_mot_aktivitet,2017,Personbil1,kun personbiler (20),2718281,2854269.199009083,5.002727790433847
bestand_mot_aktivitet,2018,Personbil1,kun personbiler (20),2750856,2900272.3895996697,5.431632539095821
bestand_mot_aktivitet,2019,Personbil1,kun personbiler (20),2800090,2920357.7153463257,4.295137490092316
bestand_mot_aktivitet,2020,Personbil1,kun personbiler (20),2809358,2967067.1568187927,5.613708072050372
bestand_mot_aktivitet,2021,Personbil1,kun personbiler (20),2881101,3034321.0968597964,5.318109183253084
bestand_mot_aktivitet,2022,Personbil1,kun personbiler (20),2906012,3103410.0135318,6.792745987690352
bestand_mot_aktivitet,2023,Personbil1,kun personbiler (20),2876692,3084557.321729864,7.225845579918322
bestand_mot_aktivitet,2024,Personbil1,kun personbiler (20),2879728,3078554.2168674697,6.9043401622469025
bestand_mot_aktivitet,2025,Personbil1,kun personbiler (20),2935738,3096777.041942605,5.485470499840406
bestand_mot_aktivitet,2008,Personbil1,personbiler + drosjer (20+21),2196107,2336941.4913930404,6.4129157364846145
bestand_mot_aktivitet,2009,Personbil1,personbiler + drosjer (20+21),2242948,2371090.792667554,5.713141484669015
bestand_mot_aktivitet,2010,Personbil1,personbiler + drosjer (20+21),2307485,2442575.35411953,5.854441269153643
bestand_mot_aktivitet,2011,Personbil1,personbiler + drosjer (20+21),2375365,2517598.6560314777,5.987865276767046
bestand_mot_aktivitet,2012,Personbil1,personbiler + drosjer (20+21),2441859,2585992.7985765245,5.902625768995029
bestand_mot_aktivitet,2013,Personbil1,personbiler + drosjer (20+21),2499191,2652431.7790733506,6.131615353662467
bestand_mot_aktivitet,2014,Personbil1,personbiler + drosjer (20+21),2554361,2701435.6602249006,5.757786789921249
bestand_mot_aktivitet,2015,Personbil1,personbiler + drosjer (20+21),2609263,2754919.5423641535,5.582286736298858
bestand_mot_aktivitet,2016,Personbil1,personbiler + drosjer (20+21),2661806,2806944.594845812,5.452636099167707
bestand_mot_aktivitet,2017,Personbil1,personbiler + drosjer (20+21),2718281,2862461.3341370854,5.304099691572928
bestand_mot_aktivitet,2018,Personbil1,personbiler + drosjer (20+21),2750856,2908431.840364394,5.728247511479845
bestand_mot_aktivitet,2019,Personbil1,personbiler + drosjer (20+21),2800090,2928290.8101232536,4.5784531969777165
bestand_mot_aktivitet,2020,Personbil1,personbiler + drosjer (20+21),2809358,2974618.1937926956,5.882489657519474
bestand_mot_aktivitet,2021,Personbil1,personbiler + drosjer (20+21),2881101,3043324.8236858225,5.63061911699112
bestand_mot_aktivitet,2022,Personbil1,personbiler + drosjer (20+21),2906012,3114204.4606191157,7.1641982420965755
bestand_mot_aktivitet,2023,Personbil1,personbiler + drosjer (20+21),2876692,3096006.2345641917,7.623834409946961
bestand_mot_aktivitet,2024,Personbil1,personbiler + drosjer (20+21),2879728,3090502.909736045,7.319264518594992
bestand_mot_aktivitet,2025,Personbil1,personbiler + drosjer (20+21),2935738,3108977.998880404,5.901071515251166
bestand_mot_aktivitet,2008,Personbil1,personbiler i alt (15),2196107,2364560.896277557,7.6705687053298055
bestand_mot_aktivitet,2009,Personbil1,personbiler i alt (15),2242948,2398287.5202116715,6.925685312886043
bestand_mot_aktivitet,2010,Personbil1,personbiler i alt (15),2307485,2469435.0154635287,7.018464495480092
bestand_mot_aktivitet,2011,Personbil1,personbiler i alt (15),2375365,2543858.298036196,7.0933645160299985
bestand_mot_aktivitet,2012,Personbil1,personbiler i alt (15),2441859,2612090.3693422773,6.971384070180853
bestand_mot_aktivitet,2013,Personbil1,personbiler i alt (15),2499191,2678018.942383583,7.155433193524741
bestand_mot_aktivitet,2014,Personbil1,personbiler i alt (15),2554361,2726702.119087906,6.746936673708448
bestand_mot_aktivitet,2015,Personbil1,personbiler i alt (15),2609263,2779954.6448530005,6.541756996247616
bestand_mot_aktivitet,2016,Personbil1,personbiler i alt (15),2661806,2855498.1973123564,7.276721042493572
