gruppe,drivlinje,periode,tilgang,andel_av_tilgang_pct,bestand_3112,tilgang_pct_av_bestand,bestand_forrige,tilgang_pct_av_bestand_forrige,nettoavgang,avgangsrate_pct,status,kilde,merknad
personbiler,bensin,2019,24468,15.510913044305122,1031207,2.3727534820845864,1075179,2.275714090397971,68440,6.365451706181018,konstruert,SSB 12906 (tilgang) og SSB 07849 (bestand),"tilgang er førstegangsregistreringer, nye og bruktimporterte, fra SSB 12906 med detaljert drivstoffklassifikasjon; bestand er per 31.12 fra SSB 07849 med samme klassifikasjon. Teller og nevner står derfor på samme kodeverk. Den grove modellens tilgangsledd i reconstruction_net_retirement.csv kommer fra 14020, hvis firedelte drivlinjeaggregat er en annen variabel (D-0036); avviket er målt i control_inflow_source.csv. Aggregatet fossil_bensin_diesel er summen av de to detaljerte kodene, ikke 14020s kategori «Fossil»"
personbiler,diesel,2019,24933,15.805688856206457,1281019,1.9463411549711596,1290442,1.9321286814905283,34356,2.6623436000998106,konstruert,SSB 12906 (tilgang) og SSB 07849 (bestand),"tilgang er førstegangsregistreringer, nye og bruktimporterte, fra SSB 12906 med detaljert drivstoffklassifikasjon; bestand er per 31.12 fra SSB 07849 med samme klassifikasjon. Teller og nevner står derfor på samme kodeverk. Den grove modellens tilgangsledd i reconstruction_net_retirement.csv kommer fra 14020, hvis firedelte drivlinjeaggregat er en annen variabel (D-0036); avviket er målt i control_inflow_source.csv. Aggregatet fossil_bensin_diesel er summen av de to detaljerte kodene, ikke 14020s kategori «Fossil»"
personbiler,elektrisitet,2019,67080,42.5237880910572,260692,25.731514584260353,195351,34.33819125573967,1739,0.8901925252494228,konstruert,SSB 12906 (tilgang) og SSB 07849 (bestand),"tilgang er førstegangsregistreringer, nye og bruktimporterte, fra SSB 12906 med detaljert drivstoffklassifikasjon; bestand er per 31.12 fra SSB 07849 med samme klassifikasjon. Teller og nevner står derfor på samme kodeverk. Den grove modellens tilgangsledd i reconstruction_net_retirement.csv kommer fra 14020, hvis firedelte drivlinjeaggregat er en annen variabel (D-0036); avviket er målt i control_inflow_source.csv. Aggregatet fossil_bensin_diesel er summen av de to detaljerte kodene, ikke 14020s kategori «Fossil»"
personbiler,hybrid,2019,41249,26.1488332583187,226926,18.17729127557001,189650,21.750065910888477,3973,2.0949116794094382,konstruert,SSB 12906 (tilgang) og SSB 07849 (bestand),"tilgang er førstegangsregistreringer, nye og bruktimporterte, fra SSB 12906 med detaljert drivstoffklassifikasjon; bestand er per 31.12 fra SSB 07849 med samme klassifikasjon. Teller og nevner står derfor på samme kodeverk. Den grove modellens tilgangsledd i reconstruction_net_retirement.csv kommer fra 14020, hvis firedelte drivlinjeaggregat er en annen variabel (D-0036); avviket er målt i control_inflow_source.csv. Aggregatet fossil_bensin_diesel er summen av de to detaljerte kodene, ikke 14020s kategori «Fossil»"
personbiler,annet,2019,17,0.01077675011252195,246,6.910569105691057,234,7.264957264957266,5,2.1367521367521367,konstruert,SSB 12906 (tilgang) og SSB 07849 (bestand),"tilgang er førstegangsregistreringer, nye og bruktimporterte, fra SSB 12906 med detaljert drivstoffklassifikasjon; bestand er per 31.12 fra SSB 07849 med samme klassifikasjon. Teller og nevner står derfor på samme kodeverk. Den grove modellens tilgangsledd i reconstruction_net_retirement.csv kommer fra 14020, hvis firedelte drivlinjeaggregat er en annen variabel (D-0036); avviket er målt i control_inflow_source.csv. Aggregatet fossil_bensin_diesel er summen av de to detaljerte kodene, ikke 14020s kategori «Fossil»"
personbiler,fossil_bensin_diesel,2019,49401,31.316601900511582,2312226,2.1365126073316363,2365621,2.088288867912485,102796,4.345412895810444,konstruert,SSB 12906 (tilgang) og SSB 07849 (bestand),"tilgang er førstegangsregistreringer, nye og bruktimporterte, fra SSB 12906 med detaljert drivstoffklassifikasjon; bestand er per 31.12 fra SSB 07849 med samme klassifikasjon. Teller og nevner står derfor på samme kodeverk. Den grove modellens tilgangsledd i reconstruction_net_retirement.csv kommer fra 14020, hvis firedelte drivlinjeaggregat er en annen variabel (D-0036); avviket er målt i control_inflow_source.csv. Aggregatet fossil_bensin_diesel er summen av de to detaljerte kodene, ikke 14020s kategori «Fossil»"
personbiler,bensin,2020,11737,7.634317679198648,950131,1.2353033423812085,1031207,1.138180792023328,92813,9.0004237752459,konstruert,SSB 12906 (tilgang) og SSB 07849 (bestand),"tilgang er førstegangsregistreringer, nye og bruktimporterte, fra SSB 12906 med detaljert drivstoffklassifikasjon; bestand er per 31.12 fra SSB 07849 med samme klassifikasjon. Teller og nevner står derfor på samme kodeverk. Den grove modellens tilgangsledd i reconstruction_net_retirement.csv kommer fra 14020, hvis firedelte drivlinjeaggregat er en annen variabel (D-0036); avviket er målt i control_inflow_source.csv. Aggregatet fossil_bensin_diesel er summen av de to detaljerte kodene, ikke 14020s kategori «Fossil»"
personbiler,diesel,2020,13145,8.550149603226226,1246671,1.0544080996509906,1281019,1.0261362243651344,47493,3.7074391558595146,konstruert,SSB 12906 (tilgang) og SSB 07849 (bestand),"tilgang er førstegangsregistreringer, nye og bruktimporterte, fra SSB 12906 med detaljert drivstoffklassifikasjon; bestand er per 31.12 fra SSB 07849 med samme klassifikasjon. Teller og nevner står derfor på samme kodeverk. Den grove modellens tilgangsledd i reconstruction_net_retirement.csv kommer fra 14020, hvis firedelte drivlinjeaggregat er en annen variabel (D-0036); avviket er målt i control_inflow_source.csv. Aggregatet fossil_bensin_diesel er summen av de to detaljerte kodene, ikke 14020s kategori «Fossil»"
personbiler,elektrisitet,2020,82241,53.49356055678418,340002,24.188387127134547,260692,31.547189787181807,2931,1.1243152839365995,konstruert,SSB 12906 (tilgang) og SSB 07849 (bestand),"tilgang er førstegangsregistreringer, nye og bruktimporterte, fra SSB 12906 med detaljert drivstoffklassifikasjon; bestand er per 31.12 fra SSB 07849 med samme klassifikasjon. Teller og nevner står derfor på samme kodeverk. Den grove modellens tilgangsledd i reconstruction_net_retirement.csv kommer fra 14020, hvis firedelte drivlinjeaggregat er en annen variabel (D-0036); avviket er målt i control_inflow_source.csv. Aggregatet fossil_bensin_diesel er summen av de to detaljerte kodene, ikke 14020s kategori «Fossil»"
personbiler,hybrid,2020,46609,30.316768570313517,272314,17.11590296495957,226926,20.53929474806765,1221,0.5380608656566458,konstruert,SSB 12906 (tilgang) og SSB 07849 (bestand),"tilgang er førstegangsregistreringer, nye og bruktimporterte, fra SSB 12906 med detaljert drivstoffklassifikasjon; bestand er per 31.12 fra SSB 07849 med samme klassifikasjon. Teller og nevner står derfor på samme kodeverk. Den grove modellens tilgangsledd i reconstruction_net_retirement.csv kommer fra 14020, hvis firedelte drivlinjeaggregat er en annen variabel (D-0036); avviket er målt i control_inflow_source.csv. Aggregatet fossil_bensin_diesel er summen av de to detaljerte kodene, ikke 14020s kategori «Fossil»"
personbiler,annet,2020,8,0.005203590477429426,240,3.3333333333333335,246,3.2520325203252036,14,5.691056910569105,konstruert,SSB 12906 (tilgang) og SSB 07849 (bestand),"tilgang er førstegangsregistreringer, nye og bruktimporterte, fra SSB 12906 med detaljert drivstoffklassifikasjon; bestand er per 31.12 fra SSB 07849 med samme klassifikasjon. Teller og nevner står derfor på samme kodeverk. Den grove modellens tilgangsledd i reconstruction_net_retirement.csv kommer fra 14020, hvis firedelte drivlinjeaggregat er en annen variabel (D-0036); avviket er målt i control_inflow_source.csv. Aggregatet fossil_bensin_diesel er summen av de to detaljerte kodene, ikke 14020s kategori «Fossil»"
personbiler,fossil_bensin_diesel,2020,24882,16.184467282424873,2196802,1.1326464560756955,2312226,1.0761058823834693,140306,6.068005463133794,konstruert,SSB 12906 (tilgang) og SSB 07849 (bestand),"tilgang er førstegangsregistreringer, nye og bruktimporterte, fra SSB 12906 med detaljert drivstoffklassifikasjon; bestand er per 31.12 fra SSB 07849 med samme klassifikasjon. Teller og nevner står derfor på samme kodeverk. Den grove modellens tilgangsledd i reconstruction_net_retirement.csv kommer fra 14020, hvis firedelte drivlinjeaggregat er en annen variabel (D-0036); avviket er målt i control_inflow_source.csv. Aggregatet fossil_bensin_diesel er summen av de to detaljerte kodene, ikke 14020s kategori «Fossil»"
personbiler,bensin,2021,7828,4.02443036933454,891950,0.8776276697124278,950131,0.8238863904030076,66009,6.9473577854001185,konstruert,SSB 12906 (tilgang) og SSB 07849 (bestand),"tilgang er førstegangsregistreringer, nye og bruktimporterte, fra SSB 12906 med detaljert drivstoffklassifikasjon; bestand er per 31.12 fra SSB 07849 med samme klassifikasjon. Teller og nevner står derfor på samme kodeverk. Den grove modellens tilgangsledd i reconstruction_net_retirement.csv kommer fra 14020, hvis firedelte drivlinjeaggregat er en annen variabel (D-0036); avviket er målt i control_inflow_source.csv. Aggregatet fossil_bensin_diesel er summen av de to detaljerte kodene, ikke 14020s kategori «Fossil»"
personbiler,diesel,2021,7528,3.870198239697294,1204097,0.6251988004288691,1246671,0.6038481684421952,50102,4.018863036037575,konstruert,SSB 12906 (tilgang) og SSB 07849 (bestand),"tilgang er førstegangsregistreringer, nye og bruktimporterte, fra SSB 12906 med detaljert drivstoffklassifikasjon; bestand er per 31.12 fra SSB 07849 med samme klassifikasjon. Teller og nevner står derfor på samme kodeverk. Den grove modellens tilgangsledd i reconstruction_net_retirement.csv kommer fra 14020, hvis firedelte drivlinjeaggregat er en annen variabel (D-0036); avviket er målt i control_inflow_source.csv. Aggregatet fossil_bensin_diesel er summen av de to detaljerte kodene, ikke 14020s kategori «Fossil»"
personbiler,elektrisitet,2021,124234,63.86958131117875,460734,26.964365555830476,340002,36.53919682825395,3502,1.0299939412121106,konstruert,SSB 12906 (tilgang) og SSB 07849 (bestand),"tilgang er førstegangsregistreringer, nye og bruktimporterte, fra SSB 12906 med detaljert drivstoffklassifikasjon; bestand er per 31.12 fra SSB 07849 med samme klassifikasjon. Teller og nevner står derfor på samme kodeverk. Den grove modellens tilgangsledd i reconstruction_net_retirement.csv kommer fra 14020, hvis firedelte drivlinjeaggregat er en annen variabel (D-0036); avviket er målt i control_inflow_source.csv. Aggregatet fossil_bensin_diesel er summen av de to detaljerte kodene, ikke 14020s kategori «Fossil»"
personbiler,hybrid,2021,54919,28.234247758493048,324089,16.945653817315616,272314,20.16752719287293,3144,1.154549527383829,konstruert,SSB 12906 (tilgang) og SSB 07849 (bestand),"tilgang er førstegangsregistreringer, nye og bruktimporterte, fra SSB 12906 med detaljert drivstoffklassifikasjon; bestand er per 31.12 fra SSB 07849 med samme klassifikasjon. Teller og nevner står derfor på samme kodeverk. Den grove modellens tilgangsledd i reconstruction_net_retirement.csv kommer fra 14020, hvis firedelte drivlinjeaggregat er en annen variabel (D-0036); avviket er målt i control_inflow_source.csv. Aggregatet fossil_bensin_diesel er summen av de to detaljerte kodene, ikke 14020s kategori «Fossil»"
