gruppe,oppdeling,drivlinje,periode,kjorelengde_mill_km,bestand_3112,km_per_kjoretoy,status,merknad
personbiler,fin,bensin,2008,20298.5,1596852.0,12711.572518930996,konstruert fra observerte data,"kjørelengde gjelder hele året, bestanden er talt 31.12; for en drivlinje i rask vekst gjør det nevneren for stor og forholdstallet for lavt"
personbiler,fin,bensin,2009,19039.6,1550434.0,12280.17445437858,konstruert fra observerte data,"kjørelengde gjelder hele året, bestanden er talt 31.12; for en drivlinje i rask vekst gjør det nevneren for stor og forholdstallet for lavt"
personbiler,fin,bensin,2010,17853.4,1500841.0,11895.597201835504,konstruert fra observerte data,"kjørelengde gjelder hele året, bestanden er talt 31.12; for en drivlinje i rask vekst gjør det nevneren for stor og forholdstallet for lavt"
personbiler,fin,bensin,2011,16715.7,1448232.0,11542.14241917041,konstruert fra observerte data,"kjørelengde gjelder hele året, bestanden er talt 31.12; for en drivlinje i rask vekst gjør det nevneren for stor og forholdstallet for lavt"
personbiler,fin,bensin,2012,15738.0,1408198.0,11175.985195263735,konstruert fra observerte data,"kjørelengde gjelder hele året, bestanden er talt 31.12; for en drivlinje i rask vekst gjør det nevneren for stor og forholdstallet for lavt"
personbiler,fin,bensin,2013,14848.2,1368625.0,10848.99077541328,konstruert fra observerte data,"kjørelengde gjelder hele året, bestanden er talt 31.12; for en drivlinje i rask vekst gjør det nevneren for stor og forholdstallet for lavt"
personbiler,fin,bensin,2014,13958.5,1328380.0,10507.911892681312,konstruert fra observerte data,"kjørelengde gjelder hele året, bestanden er talt 31.12; for en drivlinje i rask vekst gjør det nevneren for stor og forholdstallet for lavt"
personbiler,fin,bensin,2015,13314.3,1295739.0,10275.448990884739,konstruert fra observerte data,"kjørelengde gjelder hele året, bestanden er talt 31.12; for en drivlinje i rask vekst gjør det nevneren for stor og forholdstallet for lavt"
personbiler,fin,bensin,2016,12155.1,1196148.0,10161.86960142056,konstruert fra observerte data,"kjørelengde gjelder hele året, bestanden er talt 31.12; for en drivlinje i rask vekst gjør det nevneren for stor og forholdstallet for lavt"
personbiler,fin,bensin,2017,11483.3,1139998.0,10073.08784752254,konstruert fra observerte data,"kjørelengde gjelder hele året, bestanden er talt 31.12; for en drivlinje i rask vekst gjør det nevneren for stor og forholdstallet for lavt"
personbiler,fin,bensin,2018,10705.9,1075179.0,9957.318734833922,konstruert fra observerte data,"kjørelengde gjelder hele året, bestanden er talt 31.12; for en drivlinje i rask vekst gjør det nevneren for stor og forholdstallet for lavt"
personbiler,fin,bensin,2019,9788.3,1031207.0,9492.080639483635,konstruert fra observerte data,"kjørelengde gjelder hele året, bestanden er talt 31.12; for en drivlinje i rask vekst gjør det nevneren for stor og forholdstallet for lavt"
personbiler,fin,bensin,2020,8593.7,950131.0,9044.752776196125,konstruert fra observerte data,"kjørelengde gjelder hele året, bestanden er talt 31.12; for en drivlinje i rask vekst gjør det nevneren for stor og forholdstallet for lavt"
personbiler,fin,bensin,2021,7984.6,891950.0,8951.847076629856,konstruert fra observerte data,"kjørelengde gjelder hele året, bestanden er talt 31.12; for en drivlinje i rask vekst gjør det nevneren for stor og forholdstallet for lavt"
personbiler,fin,bensin,2022,7163.8,822133.0,8713.675281250114,konstruert fra observerte data,"kjørelengde gjelder hele året, bestanden er talt 31.12; for en drivlinje i rask vekst gjør det nevneren for stor og forholdstallet for lavt"
personbiler,fin,bensin,2023,6466.1,760010.0,8507.914369547769,konstruert fra observerte data,"kjørelengde gjelder hele året, bestanden er talt 31.12; for en drivlinje i rask vekst gjør det nevneren for stor og forholdstallet for lavt"
personbiler,fin,bensin,2024,5937.4,715217.0,8301.536456767666,konstruert fra observerte data,"kjørelengde gjelder hele året, bestanden er talt 31.12; for en drivlinje i rask vekst gjør det nevneren for stor og forholdstallet for lavt"
personbiler,fin,bensin,2025,5452.7,676614.0,8058.804576907956,konstruert fra observerte data,"kjørelengde gjelder hele året, bestanden er talt 31.12; for en drivlinje i rask vekst gjør det nevneren for stor og forholdstallet for lavt"
personbiler,fin,diesel,2008,11469.2,597391.0,19198.816185714215,konstruert fra observerte data,"kjørelengde gjelder hele året, bestanden er talt 31.12; for en drivlinje i rask vekst gjør det nevneren for stor og forholdstallet for lavt"
personbiler,fin,diesel,2009,12683.4,690560.0,18366.832715477292,konstruert fra observerte data,"kjørelengde gjelder hele året, bestanden er talt 31.12; for en drivlinje i rask vekst gjør det nevneren for stor og forholdstallet for lavt"
personbiler,fin,diesel,2010,14071.0,804384.0,17492.888968452877,konstruert fra observerte data,"kjørelengde gjelder hele året, bestanden er talt 31.12; for en drivlinje i rask vekst gjør det nevneren for stor og forholdstallet for lavt"
personbiler,fin,diesel,2011,15508.3,922986.0,16802.313361199413,konstruert fra observerte data,"kjørelengde gjelder hele året, bestanden er talt 31.12; for en drivlinje i rask vekst gjør det nevneren for stor og forholdstallet for lavt"
personbiler,fin,diesel,2012,17324.5,1025220.0,16898.324262109596,konstruert fra observerte data,"kjørelengde gjelder hele året, bestanden er talt 31.12; for en drivlinje i rask vekst gjør det nevneren for stor og forholdstallet for lavt"
personbiler,fin,diesel,2013,18238.5,1110621.0,16421.893697309883,konstruert fra observerte data,"kjørelengde gjelder hele året, bestanden er talt 31.12; for en drivlinje i rask vekst gjør det nevneren for stor og forholdstallet for lavt"
personbiler,fin,diesel,2014,18862.3,1186194.0,15901.530441057703,konstruert fra observerte data,"kjørelengde gjelder hele året, bestanden er talt 31.12; for en drivlinje i rask vekst gjør det nevneren for stor og forholdstallet for lavt"
personbiler,fin,diesel,2015,19513.5,1243235.0,15695.745373963893,konstruert fra observerte data,"kjørelengde gjelder hele året, bestanden er talt 31.12; for en drivlinje i rask vekst gjør det nevneren for stor og forholdstallet for lavt"
personbiler,fin,diesel,2016,19700.0,1276947.0,15427.421811555218,konstruert fra observerte data,"kjørelengde gjelder hele året, bestanden er talt 31.12; for en drivlinje i rask vekst gjør det nevneren for stor og forholdstallet for lavt"
personbiler,fin,diesel,2017,19724.1,1294493.0,15236.93059753896,konstruert fra observerte data,"kjørelengde gjelder hele året, bestanden er talt 31.12; for en drivlinje i rask vekst gjør det nevneren for stor og forholdstallet for lavt"
personbiler,fin,diesel,2018,19422.3,1290442.0,15050.889540173057,konstruert fra observerte data,"kjørelengde gjelder hele året, bestanden er talt 31.12; for en drivlinje i rask vekst gjør det nevneren for stor og forholdstallet for lavt"
personbiler,fin,diesel,2019,18448.0,1281019.0,14401.035425704069,konstruert fra observerte data,"kjørelengde gjelder hele året, bestanden er talt 31.12; for en drivlinje i rask vekst gjør det nevneren for stor og forholdstallet for lavt"
