gruppe,drivlinje,periode,bestand_forrige,tilgang,bestand,nettoavgang,avgangsrate_pct,status,merknad
personbiler,elektrisitet,2009,1693,182,1776,99,5.847607796810396,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte"
personbiler,elektrisitet,2010,1776,407,2068,115,6.475225225225226,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte"
personbiler,elektrisitet,2011,2068,2043,3909,202,9.767891682785299,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte"
personbiler,elektrisitet,2012,3909,4247,8031,125,3.1977487848554613,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte"
personbiler,elektrisitet,2013,8031,9974,17770,235,2.926161125638152,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte"
personbiler,elektrisitet,2014,17770,21151,38652,269,1.513787281935847,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte"
personbiler,elektrisitet,2015,38652,30903,69134,421,1.089206250646797,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte"
personbiler,elektrisitet,2016,69134,29509,97532,1111,1.6070240402696212,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte"
personbiler,elektrisitet,2017,97532,41628,138983,177,0.18147889923307223,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte"
personbiler,elektrisitet,2018,138983,58024,195351,1656,1.1915126310412063,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte"
personbiler,elektrisitet,2019,195351,66222,260692,881,0.4509831022108922,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte"
personbiler,elektrisitet,2020,260692,82211,340002,2901,1.112807450938272,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte"
personbiler,elektrisitet,2021,340002,124216,460734,3484,1.024699854706737,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte"
personbiler,elektrisitet,2022,460734,152770,599169,14335,3.1113397318192275,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte"
personbiler,elektrisitet,2023,599169,106341,689169,16341,2.7272772790314583,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte"
personbiler,elektrisitet,2024,689169,118150,788750,18569,2.6944044203961584,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte"
personbiler,elektrisitet,2025,788750,174922,945182,18490,2.344215530903328,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte"
personbiler,fossil_samlet,2017,2473095,83635,2434491,122239,4.942753917661878,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; beregnes først fra 2017, da begge kildene fører hybrider i egen kategori"
personbiler,fossil_samlet,2018,2434491,64621,2365621,133491,5.48332279725002,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; beregnes først fra 2017, da begge kildene fører hybrider i egen kategori"
personbiler,fossil_samlet,2019,2365621,48891,2312226,102286,4.323854074680602,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; beregnes først fra 2017, da begge kildene fører hybrider i egen kategori"
personbiler,fossil_samlet,2020,2312226,25014,2196802,140438,6.073714247655722,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; beregnes først fra 2017, da begge kildene fører hybrider i egen kategori"
personbiler,fossil_samlet,2021,2196802,15489,2096047,116244,5.291510113337479,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; beregnes først fra 2017, da begge kildene fører hybrider i egen kategori"
personbiler,fossil_samlet,2022,2096047,10780,1957671,149156,7.116061805865995,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; beregnes først fra 2017, da begge kildene fører hybrider i egen kategori"
personbiler,fossil_samlet,2023,1957671,5950,1825145,138476,7.0735072440670566,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; beregnes først fra 2017, da begge kildene fører hybrider i egen kategori"
personbiler,fossil_samlet,2024,1825145,5207,1720978,109374,5.9926197644570705,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; beregnes først fra 2017, da begge kildene fører hybrider i egen kategori"
personbiler,fossil_samlet,2025,1720978,4218,1619394,105802,6.147783411525308,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; beregnes først fra 2017, da begge kildene fører hybrider i egen kategori"
personbiler,hybrid_og_annet,2017,91179,54603,144807,975,1.0693251735597014,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; beregnes først fra 2017, da begge kildene fører hybrider i egen kategori"
personbiler,hybrid_og_annet,2018,144807,46910,189884,1833,1.2658227848101267,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; beregnes først fra 2017, da begge kildene fører hybrider i egen kategori"
personbiler,hybrid_og_annet,2019,189884,40788,227172,3500,1.8432306039476734,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; beregnes først fra 2017, da begge kildene fører hybrider i egen kategori"
personbiler,hybrid_og_annet,2020,227172,46621,272554,1239,0.5454017220432096,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; beregnes først fra 2017, da begge kildene fører hybrider i egen kategori"
personbiler,hybrid_og_annet,2021,272554,54912,324320,3146,1.15426667742906,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; beregnes først fra 2017, da begge kildene fører hybrider i egen kategori"
personbiler,hybrid_og_annet,2022,324320,29297,349172,4445,1.3705599407992106,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; beregnes først fra 2017, da begge kildene fører hybrider i egen kategori"
personbiler,hybrid_og_annet,2023,349172,18758,362378,5552,1.5900473119265002,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; beregnes først fra 2017, da begge kildene fører hybrider i egen kategori"
personbiler,hybrid_og_annet,2024,362378,11316,370000,3694,1.019377556032651,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; beregnes først fra 2017, da begge kildene fører hybrider i egen kategori"
