Alder,Alder_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
02,Under 4 år,Personbiler,Registrerte personbiler,2008,2008,362379,
02,Under 4 år,Personbiler,Registrerte personbiler,2009,2009,351888,
02,Under 4 år,Personbiler,Registrerte personbiler,2010,2010,351352,
02,Under 4 år,Personbiler,Registrerte personbiler,2011,2011,381324,
02,Under 4 år,Personbiler,Registrerte personbiler,2012,2012,427262,
02,Under 4 år,Personbiler,Registrerte personbiler,2013,2013,447228,
02,Under 4 år,Personbiler,Registrerte personbiler,2014,2014,451280,
02,Under 4 år,Personbiler,Registrerte personbiler,2015,2015,459093,
02,Under 4 år,Personbiler,Registrerte personbiler,2016,2016,464514,
02,Under 4 år,Personbiler,Registrerte personbiler,2017,2017,480646,
02,Under 4 år,Personbiler,Registrerte personbiler,2018,2018,475899,
02,Under 4 år,Personbiler,Registrerte personbiler,2019,2019,461256,
02,Under 4 år,Personbiler,Registrerte personbiler,2020,2020,442718,
02,Under 4 år,Personbiler,Registrerte personbiler,2021,2021,471663,
02,Under 4 år,Personbiler,Registrerte personbiler,2022,2022,503906,
02,Under 4 år,Personbiler,Registrerte personbiler,2023,2023,479566,
02,Under 4 år,Personbiler,Registrerte personbiler,2024,2024,602843,
02,Under 4 år,Personbiler,Registrerte personbiler,2025,2025,601956,
02,Under 4 år,Varebiler,Registrerte varebiler,2008,2008,122389,
02,Under 4 år,Varebiler,Registrerte varebiler,2009,2009,103222,
02,Under 4 år,Varebiler,Registrerte varebiler,2010,2010,85731,
02,Under 4 år,Varebiler,Registrerte varebiler,2011,2011,85304,
02,Under 4 år,Varebiler,Registrerte varebiler,2012,2012,93759,
02,Under 4 år,Varebiler,Registrerte varebiler,2013,2013,95147,
02,Under 4 år,Varebiler,Registrerte varebiler,2014,2014,88511,
02,Under 4 år,Varebiler,Registrerte varebiler,2015,2015,88996,
02,Under 4 år,Varebiler,Registrerte varebiler,2016,2016,93624,
02,Under 4 år,Varebiler,Registrerte varebiler,2017,2017,99148,
02,Under 4 år,Varebiler,Registrerte varebiler,2018,2018,102010,
02,Under 4 år,Varebiler,Registrerte varebiler,2019,2019,103439,
02,Under 4 år,Varebiler,Registrerte varebiler,2020,2020,100202,
02,Under 4 år,Varebiler,Registrerte varebiler,2021,2021,98093,
