UtslpTilLuft,UtslpTilLuft_label,UtslpEnergivare,UtslpEnergivare_label,UtslpKomp,UtslpKomp_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
5,Veitrafikk,VT0,I alt,K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",1990,1990,7289.0,
5,Veitrafikk,VT0,I alt,K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",1991,1991,7174.0,
5,Veitrafikk,VT0,I alt,K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",1992,1992,7207.0,
5,Veitrafikk,VT0,I alt,K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",1993,1993,7380.0,
5,Veitrafikk,VT0,I alt,K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",1994,1994,7277.0,
5,Veitrafikk,VT0,I alt,K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",1995,1995,7396.0,
5,Veitrafikk,VT0,I alt,K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",1996,1996,7769.0,
5,Veitrafikk,VT0,I alt,K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",1997,1997,7755.0,
5,Veitrafikk,VT0,I alt,K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",1998,1998,7988.0,
5,Veitrafikk,VT0,I alt,K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",1999,1999,8418.0,
5,Veitrafikk,VT0,I alt,K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2000,2000,8247.0,
5,Veitrafikk,VT0,I alt,K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2001,2001,8748.0,
5,Veitrafikk,VT0,I alt,K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2002,2002,8826.0,
5,Veitrafikk,VT0,I alt,K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2003,2003,8972.0,
