Region,Region_label,TypeRegistrering,TypeRegistrering_label,DrivstoffType,DrivstoffType_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
0,Hele landet,N,Nye kjøretøy,1,Bensin,Personbil1,Personbiler,2019,2019,21203,
0,Hele landet,N,Nye kjøretøy,1,Bensin,Personbil1,Personbiler,2020,2020,8377,
0,Hele landet,N,Nye kjøretøy,1,Bensin,Personbil1,Personbiler,2021,2021,3724,
0,Hele landet,N,Nye kjøretøy,1,Bensin,Personbil1,Personbiler,2022,2022,2257,
0,Hele landet,N,Nye kjøretøy,1,Bensin,Personbil1,Personbiler,2023,2023,806,
0,Hele landet,N,Nye kjøretøy,1,Bensin,Personbil1,Personbiler,2024,2024,325,
0,Hele landet,N,Nye kjøretøy,1,Bensin,Personbil1,Personbiler,2025,2025,187,
0,Hele landet,N,Nye kjøretøy,1,Bensin,Varebil4,Varebiler,2019,2019,507,
0,Hele landet,N,Nye kjøretøy,1,Bensin,Varebil4,Varebiler,2020,2020,245,
0,Hele landet,N,Nye kjøretøy,1,Bensin,Varebil4,Varebiler,2021,2021,160,
0,Hele landet,N,Nye kjøretøy,1,Bensin,Varebil4,Varebiler,2022,2022,232,
0,Hele landet,N,Nye kjøretøy,1,Bensin,Varebil4,Varebiler,2023,2023,450,
0,Hele landet,N,Nye kjøretøy,1,Bensin,Varebil4,Varebiler,2024,2024,247,
0,Hele landet,N,Nye kjøretøy,1,Bensin,Varebil4,Varebiler,2025,2025,212,
0,Hele landet,N,Nye kjøretøy,1,Bensin,Bobiler,Bobiler,2019,2019,2,
0,Hele landet,N,Nye kjøretøy,1,Bensin,Bobiler,Bobiler,2020,2020,4,
0,Hele landet,N,Nye kjøretøy,1,Bensin,Bobiler,Bobiler,2021,2021,3,
0,Hele landet,N,Nye kjøretøy,1,Bensin,Bobiler,Bobiler,2022,2022,6,
0,Hele landet,N,Nye kjøretøy,1,Bensin,Bobiler,Bobiler,2023,2023,1,
0,Hele landet,N,Nye kjøretøy,1,Bensin,Bobiler,Bobiler,2024,2024,3,
0,Hele landet,N,Nye kjøretøy,1,Bensin,Bobiler,Bobiler,2025,2025,0,
0,Hele landet,N,Nye kjøretøy,1,Bensin,Kombibil5,Kombinerte biler,2019,2019,0,
0,Hele landet,N,Nye kjøretøy,1,Bensin,Kombibil5,Kombinerte biler,2020,2020,0,
0,Hele landet,N,Nye kjøretøy,1,Bensin,Kombibil5,Kombinerte biler,2021,2021,0,
0,Hele landet,N,Nye kjøretøy,1,Bensin,Kombibil5,Kombinerte biler,2022,2022,0,
0,Hele landet,N,Nye kjøretøy,1,Bensin,Kombibil5,Kombinerte biler,2023,2023,0,
0,Hele landet,N,Nye kjøretøy,1,Bensin,Kombibil5,Kombinerte biler,2024,2024,0,
0,Hele landet,N,Nye kjøretøy,1,Bensin,Kombibil5,Kombinerte biler,2025,2025,0,
0,Hele landet,N,Nye kjøretøy,1,Bensin,Ambulanse2,Ambulanser,2019,2019,7,
0,Hele landet,N,Nye kjøretøy,1,Bensin,Ambulanse2,Ambulanser,2020,2020,3,
0,Hele landet,N,Nye kjøretøy,1,Bensin,Ambulanse2,Ambulanser,2021,2021,0,
0,Hele landet,N,Nye kjøretøy,1,Bensin,Ambulanse2,Ambulanser,2022,2022,0,
0,Hele landet,N,Nye kjøretøy,1,Bensin,Ambulanse2,Ambulanser,2023,2023,0,
0,Hele landet,N,Nye kjøretøy,1,Bensin,Ambulanse2,Ambulanser,2024,2024,0,
0,Hele landet,N,Nye kjøretøy,1,Bensin,Ambulanse2,Ambulanser,2025,2025,0,
0,Hele landet,N,Nye kjøretøy,2,Diesel,Personbil1,Personbiler,2019,2019,22245,
0,Hele landet,N,Nye kjøretøy,2,Diesel,Personbil1,Personbiler,2020,2020,11353,
0,Hele landet,N,Nye kjøretøy,2,Diesel,Personbil1,Personbiler,2021,2021,6210,
0,Hele landet,N,Nye kjøretøy,2,Diesel,Personbil1,Personbiler,2022,2022,4716,
0,Hele landet,N,Nye kjøretøy,2,Diesel,Personbil1,Personbiler,2023,2023,2830,
0,Hele landet,N,Nye kjøretøy,2,Diesel,Personbil1,Personbiler,2024,2024,2697,
0,Hele landet,N,Nye kjøretøy,2,Diesel,Personbil1,Personbiler,2025,2025,1514,
0,Hele landet,N,Nye kjøretøy,2,Diesel,Varebil4,Varebiler,2019,2019,33056,
0,Hele landet,N,Nye kjøretøy,2,Diesel,Varebil4,Varebiler,2020,2020,27376,
0,Hele landet,N,Nye kjøretøy,2,Diesel,Varebil4,Varebiler,2021,2021,26131,
0,Hele landet,N,Nye kjøretøy,2,Diesel,Varebil4,Varebiler,2022,2022,20744,
0,Hele landet,N,Nye kjøretøy,2,Diesel,Varebil4,Varebiler,2023,2023,17953,
0,Hele landet,N,Nye kjøretøy,2,Diesel,Varebil4,Varebiler,2024,2024,18416,
0,Hele landet,N,Nye kjøretøy,2,Diesel,Varebil4,Varebiler,2025,2025,14924,
0,Hele landet,N,Nye kjøretøy,2,Diesel,Bobiler,Bobiler,2019,2019,3587,
0,Hele landet,N,Nye kjøretøy,2,Diesel,Bobiler,Bobiler,2020,2020,3376,
0,Hele landet,N,Nye kjøretøy,2,Diesel,Bobiler,Bobiler,2021,2021,3078,
0,Hele landet,N,Nye kjøretøy,2,Diesel,Bobiler,Bobiler,2022,2022,2047,
0,Hele landet,N,Nye kjøretøy,2,Diesel,Bobiler,Bobiler,2023,2023,1617,
0,Hele landet,N,Nye kjøretøy,2,Diesel,Bobiler,Bobiler,2024,2024,1553,
0,Hele landet,N,Nye kjøretøy,2,Diesel,Bobiler,Bobiler,2025,2025,1393,
0,Hele landet,N,Nye kjøretøy,2,Diesel,Kombibil5,Kombinerte biler,2019,2019,0,
0,Hele landet,N,Nye kjøretøy,2,Diesel,Kombibil5,Kombinerte biler,2020,2020,0,
0,Hele landet,N,Nye kjøretøy,2,Diesel,Kombibil5,Kombinerte biler,2021,2021,0,
0,Hele landet,N,Nye kjøretøy,2,Diesel,Kombibil5,Kombinerte biler,2022,2022,0,
0,Hele landet,N,Nye kjøretøy,2,Diesel,Kombibil5,Kombinerte biler,2023,2023,0,
0,Hele landet,N,Nye kjøretøy,2,Diesel,Kombibil5,Kombinerte biler,2024,2024,0,
0,Hele landet,N,Nye kjøretøy,2,Diesel,Kombibil5,Kombinerte biler,2025,2025,0,
0,Hele landet,N,Nye kjøretøy,2,Diesel,Ambulanse2,Ambulanser,2019,2019,108,
0,Hele landet,N,Nye kjøretøy,2,Diesel,Ambulanse2,Ambulanser,2020,2020,74,
0,Hele landet,N,Nye kjøretøy,2,Diesel,Ambulanse2,Ambulanser,2021,2021,117,
0,Hele landet,N,Nye kjøretøy,2,Diesel,Ambulanse2,Ambulanser,2022,2022,124,
0,Hele landet,N,Nye kjøretøy,2,Diesel,Ambulanse2,Ambulanser,2023,2023,61,
0,Hele landet,N,Nye kjøretøy,2,Diesel,Ambulanse2,Ambulanser,2024,2024,79,
0,Hele landet,N,Nye kjøretøy,2,Diesel,Ambulanse2,Ambulanser,2025,2025,164,
0,Hele landet,N,Nye kjøretøy,5,El.,Personbil1,Personbiler,2019,2019,60246,
0,Hele landet,N,Nye kjøretøy,5,El.,Personbil1,Personbiler,2020,2020,76791,
0,Hele landet,N,Nye kjøretøy,5,El.,Personbil1,Personbiler,2021,2021,113715,
0,Hele landet,N,Nye kjøretøy,5,El.,Personbil1,Personbiler,2022,2022,138283,
0,Hele landet,N,Nye kjøretøy,5,El.,Personbil1,Personbiler,2023,2023,104576,
0,Hele landet,N,Nye kjøretøy,5,El.,Personbil1,Personbiler,2024,2024,114377,
0,Hele landet,N,Nye kjøretøy,5,El.,Personbil1,Personbiler,2025,2025,172217,
0,Hele landet,N,Nye kjøretøy,5,El.,Varebil4,Varebiler,2019,2019,2011,
0,Hele landet,N,Nye kjøretøy,5,El.,Varebil4,Varebiler,2020,2020,2560,
0,Hele landet,N,Nye kjøretøy,5,El.,Varebil4,Varebiler,2021,2021,5514,
0,Hele landet,N,Nye kjøretøy,5,El.,Varebil4,Varebiler,2022,2022,6864,
