TypeRegistrering,TypeRegistrering_label,DrivstoffType,DrivstoffType_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,1995M01,1995M01,0,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,1995M02,1995M02,0,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,1995M03,1995M03,0,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,1995M04,1995M04,0,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,1995M05,1995M05,0,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,1995M06,1995M06,0,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,1995M07,1995M07,5,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,1995M08,1995M08,1,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,1995M09,1995M09,0,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,1995M10,1995M10,1,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,1995M11,1995M11,0,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,1995M12,1995M12,0,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,1996M01,1996M01,1,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,1996M02,1996M02,0,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,1996M03,1996M03,11,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,1996M04,1996M04,2,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,1996M05,1996M05,10,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,1996M06,1996M06,0,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,1996M07,1996M07,0,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,1996M08,1996M08,0,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,1996M09,1996M09,0,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,1996M10,1996M10,15,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,1996M11,1996M11,8,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,1996M12,1996M12,1,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,1997M01,1997M01,1,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,1997M02,1997M02,1,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,1997M03,1997M03,0,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,1997M04,1997M04,1,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,1997M05,1997M05,2,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,1997M06,1997M06,3,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,1997M07,1997M07,4,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,1997M08,1997M08,0,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,1997M09,1997M09,0,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,1997M10,1997M10,2,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,1997M11,1997M11,10,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,1997M12,1997M12,2,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,1998M01,1998M01,1,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,1998M02,1998M02,3,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,1998M03,1998M03,0,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,1998M04,1998M04,2,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,1998M05,1998M05,2,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,1998M06,1998M06,27,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,1998M07,1998M07,3,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,1998M08,1998M08,1,
