PetroleumProd,PetroleumProd_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1986M08,1986M08,4.44,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1986M09,1986M09,4.44,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1986M10,1986M10,4.43,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1986M11,1986M11,4.42,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1986M12,1986M12,4.42,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1987M01,1987M01,4.65,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1987M02,1987M02,4.72,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1987M03,1987M03,4.64,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1987M04,1987M04,4.65,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1987M05,1987M05,4.63,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1987M06,1987M06,4.65,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1987M07,1987M07,4.64,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1987M08,1987M08,4.72,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1987M09,1987M09,4.71,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1987M10,1987M10,4.63,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1987M11,1987M11,4.61,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1987M12,1987M12,4.6,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1988M01,1988M01,4.8,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1988M02,1988M02,4.79,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1988M03,1988M03,4.78,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1988M04,1988M04,4.73,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1988M05,1988M05,4.72,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1988M06,1988M06,4.77,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1988M07,1988M07,4.77,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1988M08,1988M08,4.77,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1988M09,1988M09,4.86,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1988M10,1988M10,4.83,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1988M11,1988M11,4.83,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1988M12,1988M12,4.8,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1989M01,1989M01,4.9,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1989M02,1989M02,4.92,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1989M03,1989M03,4.92,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1989M04,1989M04,5.0,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1989M05,1989M05,5.24,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1989M06,1989M06,5.29,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1989M07,1989M07,5.3,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1989M08,1989M08,5.2,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1989M09,1989M09,5.2,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1989M10,1989M10,5.2,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1989M11,1989M11,5.23,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1989M12,1989M12,5.2,
