Kjopegrupper,Kjopegrupper_label,Produkter,Produkter_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2021M01,2021M01,,..
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2021M02,2021M02,,..
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2021M03,2021M03,,..
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2021M04,2021M04,,..
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2021M05,2021M05,,..
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2021M06,2021M06,,..
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2021M07,2021M07,,..
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2021M08,2021M08,,..
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2021M09,2021M09,,..
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2021M10,2021M10,,..
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2021M11,2021M11,,..
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2021M12,2021M12,,..
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2022M01,2022M01,563.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2022M02,2022M02,625.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2022M03,2022M03,686.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2022M04,2022M04,631.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2022M05,2022M05,736.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2022M06,2022M06,729.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2022M07,2022M07,720.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2022M08,2022M08,736.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2022M09,2022M09,765.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2022M10,2022M10,692.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2022M11,2022M11,695.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2022M12,2022M12,679.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2023M01,2023M01,615.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2023M02,2023M02,581.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2023M03,2023M03,695.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2023M04,2023M04,620.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2023M05,2023M05,688.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2023M06,2023M06,743.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2023M07,2023M07,670.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2023M08,2023M08,723.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2023M09,2023M09,680.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2023M10,2023M10,729.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2023M11,2023M11,634.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2023M12,2023M12,600.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2024M01,2024M01,563.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2024M02,2024M02,552.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2024M03,2024M03,561.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2024M04,2024M04,619.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2024M05,2024M05,670.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2024M06,2024M06,661.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2024M07,2024M07,660.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2024M08,2024M08,712.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2024M09,2024M09,665.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2024M10,2024M10,639.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2024M11,2024M11,603.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2024M12,2024M12,557.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2025M01,2025M01,551.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2025M02,2025M02,560.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2025M03,2025M03,589.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2025M04,2025M04,602.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2025M05,2025M05,677.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2025M06,2025M06,718.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2025M07,2025M07,656.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2025M08,2025M08,667.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2025M09,2025M09,690.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2025M10,2025M10,681.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2025M11,2025M11,574.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2025M12,2025M12,528.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2026M01,2026M01,562.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2026M02,2026M02,577.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2026M03,2026M03,590.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2026M04,2026M04,560.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2026M05,2026M05,636.0,
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2026M06,2026M06,660.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2021M01,2021M01,547.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2021M02,2021M02,576.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2021M03,2021M03,602.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2021M04,2021M04,581.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2021M05,2021M05,636.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2021M06,2021M06,703.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2021M07,2021M07,698.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2021M08,2021M08,704.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2021M09,2021M09,702.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2021M10,2021M10,717.0,
