Region,Region_label,DrivstoffType,DrivstoffType_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
0,Hele landet,1,Bensin,Personbil1,Personbiler,2008,2008,1596852,
0,Hele landet,1,Bensin,Personbil1,Personbiler,2009,2009,1550434,
0,Hele landet,1,Bensin,Personbil1,Personbiler,2010,2010,1500841,
0,Hele landet,1,Bensin,Personbil1,Personbiler,2011,2011,1448232,
0,Hele landet,1,Bensin,Personbil1,Personbiler,2012,2012,1408198,
0,Hele landet,1,Bensin,Personbil1,Personbiler,2013,2013,1368625,
0,Hele landet,1,Bensin,Personbil1,Personbiler,2014,2014,1328380,
0,Hele landet,1,Bensin,Personbil1,Personbiler,2015,2015,1295739,
0,Hele landet,1,Bensin,Personbil1,Personbiler,2016,2016,1196148,
0,Hele landet,1,Bensin,Personbil1,Personbiler,2017,2017,1139998,
0,Hele landet,1,Bensin,Personbil1,Personbiler,2018,2018,1075179,
0,Hele landet,1,Bensin,Personbil1,Personbiler,2019,2019,1031207,
0,Hele landet,1,Bensin,Personbil1,Personbiler,2020,2020,950131,
0,Hele landet,1,Bensin,Personbil1,Personbiler,2021,2021,891950,
0,Hele landet,1,Bensin,Personbil1,Personbiler,2022,2022,822133,
0,Hele landet,1,Bensin,Personbil1,Personbiler,2023,2023,760010,
0,Hele landet,1,Bensin,Personbil1,Personbiler,2024,2024,715217,
0,Hele landet,1,Bensin,Personbil1,Personbiler,2025,2025,676614,
0,Hele landet,1,Bensin,Varebil4,Varebiler,2008,2008,64971,
0,Hele landet,1,Bensin,Varebil4,Varebiler,2009,2009,60030,
0,Hele landet,1,Bensin,Varebil4,Varebiler,2010,2010,54526,
0,Hele landet,1,Bensin,Varebil4,Varebiler,2011,2011,48304,
0,Hele landet,1,Bensin,Varebil4,Varebiler,2012,2012,43626,
0,Hele landet,1,Bensin,Varebil4,Varebiler,2013,2013,39166,
0,Hele landet,1,Bensin,Varebil4,Varebiler,2014,2014,35456,
0,Hele landet,1,Bensin,Varebil4,Varebiler,2015,2015,31896,
0,Hele landet,1,Bensin,Varebil4,Varebiler,2016,2016,29463,
0,Hele landet,1,Bensin,Varebil4,Varebiler,2017,2017,26814,
0,Hele landet,1,Bensin,Varebil4,Varebiler,2018,2018,24765,
0,Hele landet,1,Bensin,Varebil4,Varebiler,2019,2019,23599,
0,Hele landet,1,Bensin,Varebil4,Varebiler,2020,2020,21626,
0,Hele landet,1,Bensin,Varebil4,Varebiler,2021,2021,20480,
0,Hele landet,1,Bensin,Varebil4,Varebiler,2022,2022,18931,
0,Hele landet,1,Bensin,Varebil4,Varebiler,2023,2023,17884,
0,Hele landet,1,Bensin,Varebil4,Varebiler,2024,2024,17297,
0,Hele landet,1,Bensin,Varebil4,Varebiler,2025,2025,16917,
0,Hele landet,2,Diesel,Personbil1,Personbiler,2008,2008,597391,
0,Hele landet,2,Diesel,Personbil1,Personbiler,2009,2009,690560,
0,Hele landet,2,Diesel,Personbil1,Personbiler,2010,2010,804384,
0,Hele landet,2,Diesel,Personbil1,Personbiler,2011,2011,922986,
0,Hele landet,2,Diesel,Personbil1,Personbiler,2012,2012,1025220,
0,Hele landet,2,Diesel,Personbil1,Personbiler,2013,2013,1110621,
0,Hele landet,2,Diesel,Personbil1,Personbiler,2014,2014,1186194,
0,Hele landet,2,Diesel,Personbil1,Personbiler,2015,2015,1243235,
0,Hele landet,2,Diesel,Personbil1,Personbiler,2016,2016,1276947,
0,Hele landet,2,Diesel,Personbil1,Personbiler,2017,2017,1294493,
0,Hele landet,2,Diesel,Personbil1,Personbiler,2018,2018,1290442,
0,Hele landet,2,Diesel,Personbil1,Personbiler,2019,2019,1281019,
0,Hele landet,2,Diesel,Personbil1,Personbiler,2020,2020,1246671,
0,Hele landet,2,Diesel,Personbil1,Personbiler,2021,2021,1204097,
0,Hele landet,2,Diesel,Personbil1,Personbiler,2022,2022,1135538,
0,Hele landet,2,Diesel,Personbil1,Personbiler,2023,2023,1065135,
0,Hele landet,2,Diesel,Personbil1,Personbiler,2024,2024,1005761,
0,Hele landet,2,Diesel,Personbil1,Personbiler,2025,2025,942780,
0,Hele landet,2,Diesel,Varebil4,Varebiler,2008,2008,314237,
0,Hele landet,2,Diesel,Varebil4,Varebiler,2009,2009,327345,
0,Hele landet,2,Diesel,Varebil4,Varebiler,2010,2010,342510,
0,Hele landet,2,Diesel,Varebil4,Varebiler,2011,2011,362098,
0,Hele landet,2,Diesel,Varebil4,Varebiler,2012,2012,380518,
0,Hele landet,2,Diesel,Varebil4,Varebiler,2013,2013,394596,
0,Hele landet,2,Diesel,Varebil4,Varebiler,2014,2014,405069,
0,Hele landet,2,Diesel,Varebil4,Varebiler,2015,2015,416298,
0,Hele landet,2,Diesel,Varebil4,Varebiler,2016,2016,429013,
0,Hele landet,2,Diesel,Varebil4,Varebiler,2017,2017,440051,
0,Hele landet,2,Diesel,Varebil4,Varebiler,2018,2018,446237,
0,Hele landet,2,Diesel,Varebil4,Varebiler,2019,2019,457871,
0,Hele landet,2,Diesel,Varebil4,Varebiler,2020,2020,463904,
0,Hele landet,2,Diesel,Varebil4,Varebiler,2021,2021,471131,
0,Hele landet,2,Diesel,Varebil4,Varebiler,2022,2022,466490,
0,Hele landet,2,Diesel,Varebil4,Varebiler,2023,2023,459458,
0,Hele landet,2,Diesel,Varebil4,Varebiler,2024,2024,456956,
0,Hele landet,2,Diesel,Varebil4,Varebiler,2025,2025,452033,
0,Hele landet,3,Parafin,Personbil1,Personbiler,2008,2008,21,
0,Hele landet,3,Parafin,Personbil1,Personbiler,2009,2009,23,
0,Hele landet,3,Parafin,Personbil1,Personbiler,2010,2010,21,
0,Hele landet,3,Parafin,Personbil1,Personbiler,2011,2011,20,
0,Hele landet,3,Parafin,Personbil1,Personbiler,2012,2012,17,
0,Hele landet,3,Parafin,Personbil1,Personbiler,2013,2013,18,
0,Hele landet,3,Parafin,Personbil1,Personbiler,2014,2014,16,
0,Hele landet,3,Parafin,Personbil1,Personbiler,2015,2015,13,
0,Hele landet,3,Parafin,Personbil1,Personbiler,2016,2016,9,
0,Hele landet,3,Parafin,Personbil1,Personbiler,2017,2017,8,
0,Hele landet,3,Parafin,Personbil1,Personbiler,2018,2018,11,
0,Hele landet,3,Parafin,Personbil1,Personbiler,2019,2019,13,
0,Hele landet,3,Parafin,Personbil1,Personbiler,2020,2020,16,
0,Hele landet,3,Parafin,Personbil1,Personbiler,2021,2021,13,
0,Hele landet,3,Parafin,Personbil1,Personbiler,2022,2022,8,
0,Hele landet,3,Parafin,Personbil1,Personbiler,2023,2023,5,
0,Hele landet,3,Parafin,Personbil1,Personbiler,2024,2024,3,
0,Hele landet,3,Parafin,Personbil1,Personbiler,2025,2025,3,
0,Hele landet,3,Parafin,Varebil4,Varebiler,2008,2008,4,
0,Hele landet,3,Parafin,Varebil4,Varebiler,2009,2009,5,
0,Hele landet,3,Parafin,Varebil4,Varebiler,2010,2010,3,
0,Hele landet,3,Parafin,Varebil4,Varebiler,2011,2011,4,
0,Hele landet,3,Parafin,Varebil4,Varebiler,2012,2012,3,
0,Hele landet,3,Parafin,Varebil4,Varebiler,2013,2013,4,
0,Hele landet,3,Parafin,Varebil4,Varebiler,2014,2014,3,
0,Hele landet,3,Parafin,Varebil4,Varebiler,2015,2015,3,
0,Hele landet,3,Parafin,Varebil4,Varebiler,2016,2016,3,
0,Hele landet,3,Parafin,Varebil4,Varebiler,2017,2017,3,
0,Hele landet,3,Parafin,Varebil4,Varebiler,2018,2018,4,
0,Hele landet,3,Parafin,Varebil4,Varebiler,2019,2019,4,
0,Hele landet,3,Parafin,Varebil4,Varebiler,2020,2020,3,
0,Hele landet,3,Parafin,Varebil4,Varebiler,2021,2021,4,
0,Hele landet,3,Parafin,Varebil4,Varebiler,2022,2022,4,
0,Hele landet,3,Parafin,Varebil4,Varebiler,2023,2023,4,
0,Hele landet,3,Parafin,Varebil4,Varebiler,2024,2024,2,
0,Hele landet,3,Parafin,Varebil4,Varebiler,2025,2025,2,
0,Hele landet,4,Gass,Personbil1,Personbiler,2008,2008,24,
0,Hele landet,4,Gass,Personbil1,Personbiler,2009,2009,24,
0,Hele landet,4,Gass,Personbil1,Personbiler,2010,2010,27,
0,Hele landet,4,Gass,Personbil1,Personbiler,2011,2011,38,
0,Hele landet,4,Gass,Personbil1,Personbiler,2012,2012,36,
0,Hele landet,4,Gass,Personbil1,Personbiler,2013,2013,87,
0,Hele landet,4,Gass,Personbil1,Personbiler,2014,2014,120,
0,Hele landet,4,Gass,Personbil1,Personbiler,2015,2015,129,
0,Hele landet,4,Gass,Personbil1,Personbiler,2016,2016,116,
0,Hele landet,4,Gass,Personbil1,Personbiler,2017,2017,169,
0,Hele landet,4,Gass,Personbil1,Personbiler,2018,2018,223,
0,Hele landet,4,Gass,Personbil1,Personbiler,2019,2019,233,
0,Hele landet,4,Gass,Personbil1,Personbiler,2020,2020,224,
0,Hele landet,4,Gass,Personbil1,Personbiler,2021,2021,218,
0,Hele landet,4,Gass,Personbil1,Personbiler,2022,2022,195,
0,Hele landet,4,Gass,Personbil1,Personbiler,2023,2023,179,
0,Hele landet,4,Gass,Personbil1,Personbiler,2024,2024,162,
0,Hele landet,4,Gass,Personbil1,Personbiler,2025,2025,155,
0,Hele landet,4,Gass,Varebil4,Varebiler,2008,2008,48,
0,Hele landet,4,Gass,Varebil4,Varebiler,2009,2009,70,
0,Hele landet,4,Gass,Varebil4,Varebiler,2010,2010,127,
0,Hele landet,4,Gass,Varebil4,Varebiler,2011,2011,170,
0,Hele landet,4,Gass,Varebil4,Varebiler,2012,2012,265,
0,Hele landet,4,Gass,Varebil4,Varebiler,2013,2013,293,
0,Hele landet,4,Gass,Varebil4,Varebiler,2014,2014,308,
0,Hele landet,4,Gass,Varebil4,Varebiler,2015,2015,320,
0,Hele landet,4,Gass,Varebil4,Varebiler,2016,2016,394,
0,Hele landet,4,Gass,Varebil4,Varebiler,2017,2017,437,
0,Hele landet,4,Gass,Varebil4,Varebiler,2018,2018,460,
0,Hele landet,4,Gass,Varebil4,Varebiler,2019,2019,484,
0,Hele landet,4,Gass,Varebil4,Varebiler,2020,2020,491,
0,Hele landet,4,Gass,Varebil4,Varebiler,2021,2021,474,
0,Hele landet,4,Gass,Varebil4,Varebiler,2022,2022,457,
0,Hele landet,4,Gass,Varebil4,Varebiler,2023,2023,422,
0,Hele landet,4,Gass,Varebil4,Varebiler,2024,2024,391,
0,Hele landet,4,Gass,Varebil4,Varebiler,2025,2025,386,
0,Hele landet,5,El.,Personbil1,Personbiler,2008,2008,1693,
0,Hele landet,5,El.,Personbil1,Personbiler,2009,2009,1776,
0,Hele landet,5,El.,Personbil1,Personbiler,2010,2010,2068,
