table_id,extract,dimension,dimension_label,code,code_label,unit,role,note
03687,sales_03687,(tabell),"03687: Salg av petroleumsprodukter, etter kjøpegruppe og produkt (mill. liter). Foreløpige tall (F) (avslutta serie) 1995M01-2016M07",note1,,,tabellnote,"Omfatter også bunkers, det vil si leveranser fra norske havner til skip i utenriksfart uansett skipenes nasjonalitet."
03687,sales_03687,Region,region,0,Hele landet,,klassifisering,
03687,sales_03687,Kjopegrupper,kjøpegruppe,00,Alle kjøpegrupper,,klassifisering,
03687,sales_03687,PetroleumProd,petroleumsprodukt,00,Petroleumsprodukter i alt,,klassifisering,
03687,sales_03687,PetroleumProd,petroleumsprodukt,03,Bilbensin,,klassifisering,
03687,sales_03687,PetroleumProd,petroleumsprodukt,04,Diesel,,klassifisering,
03687,sales_03687,ContentsCode,statistikkvariabel,Petroleum,Salg,mill. liter,statistikkvariabel,
03687,sales_03687,Tid,måned,1995M01--2016M07,259 perioder (måned),,tid,
11174,sales_11174,(tabell),"11174: Salg av petroleumsprodukter, etter kjøpegruppe og produkt (mill. liter). Foreløpige tall (F) (avslutta serie) 2010M01-2022M01",note1,,,tabellnote,Volum på selt bilbensin og autodiesel er medrekna iblanda biodrivstoff.
11174,sales_11174,(tabell),"11174: Salg av petroleumsprodukter, etter kjøpegruppe og produkt (mill. liter). Foreløpige tall (F) (avslutta serie) 2010M01-2022M01",note2,,,tabellnote,Tal på sal av autodiesel og marine gassoljer for 2020 og jan. - feb. 2021 vart korrigert 20.04.2021. Rettinga medfører at tal f.o.m. 2020 for desse produkta (samt totaltalet) ikkje kan samanliknast med tidlegare periodar.
11174,sales_11174,(tabell),"11174: Salg av petroleumsprodukter, etter kjøpegruppe og produkt (mill. liter). Foreløpige tall (F) (avslutta serie) 2010M01-2022M01",note3,,,tabellnote,"Tall fra og med 2020 kan ikke sammenlignes med tidligere år for produktene marine gassoljer og autodiesel, samt sum alle produkter."
11174,sales_11174,(tabell),"11174: Salg av petroleumsprodukter, etter kjøpegruppe og produkt (mill. liter). Foreløpige tall (F) (avslutta serie) 2010M01-2022M01",note4,,,tabellnote,Tala for sal av autodiesel i perioden januar t.o.m. august 2021 vart revidert 21.10.2021
11174,sales_11174,Region,region,0,Hele landet,,klassifisering,
11174,sales_11174,Kjopegrupper,kjøpegruppe,00,Alle kjøpegrupper,,klassifisering,
11174,sales_11174,PetroleumProd,petroleumsprodukt,00,Petroleumsprodukter i alt,,klassifisering,
11174,sales_11174,PetroleumProd,petroleumsprodukt,03,Bilbensin,,klassifisering,
11174,sales_11174,PetroleumProd,petroleumsprodukt,04a,Anleggsdiesel,,klassifisering,
11174,sales_11174,PetroleumProd,petroleumsprodukt,04b,Autodiesel,,klassifisering,
11174,sales_11174,ContentsCode,statistikkvariabel,Petroleum,Salg,mill. liter,statistikkvariabel,
11174,sales_11174,Tid,måned,2010M01--2022M01,145 perioder (måned),,tid,
13585,sales_13585,(tabell),"13585: Sal av petroleumsprodukt og flytande biodrivstoff, etter kjøpegruppe og produkt (mill. liter). Førebelse tal 2021M01-2026M01",note1,,,tabellnote,"Tala for mai 2025 vart retta 23. juli 2025. Rettinga gjeld produkta autodiesel, marine gassoljer, bilbensin og anleggsdiesel."
13585,sales_13585,Kjopegrupper,kjøpegruppe,00,Alle kjøpegrupper,,klassifisering,
13585,sales_13585,Produkter,produkt,00,Alle produkt,,klassifisering,
13585,sales_13585,Produkter,produkt,01,Bilbensin,,klassifisering,
13585,sales_13585,Produkter,produkt,02a,Autodiesel,,klassifisering,
13585,sales_13585,Produkter,produkt,02b,Anleggsdiesel,,klassifisering,
13585,sales_13585,ContentsCode,statistikkvariabel,Biodrivstoff,Sal av reint biodrivstoff,mill. liter,statistikkvariabel,
13585,sales_13585,ContentsCode,statistikkvariabel,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),mill. liter,statistikkvariabel,
13585,sales_13585,ContentsCode,statistikkvariabel,Total,Totalt sal,mill. liter,statistikkvariabel,
13585,sales_13585,Tid,måned,2021M01--2026M06,66 perioder (måned),,tid,
09654,prices_09654,PetroleumProd,petroleumsprodukt,031,"Bensin, blyfri 95 oktan",,klassifisering,
09654,prices_09654,PetroleumProd,petroleumsprodukt,035,Avgiftspliktig diesel,,klassifisering,
09654,prices_09654,ContentsCode,statistikkvariabel,Priser,Priser (kr per liter),kr per liter,statistikkvariabel,
09654,prices_09654,Tid,måned,1986M08--2026M06,479 perioder (måned),,tid,
14020,firstreg_14020,(tabell),"14020: Førstegangsregistrerte kjøretøy, etter type registrering og drivstofftype 1995M01-2026M01",note1,,,tabellnote,Se [standard for klassifisering av kjøretøygrupper](https://www.ssb.no/klass/klassifikasjoner/111).
14020,firstreg_14020,TypeRegistrering,type registrering,B,Bruktimporterte kjøretøy,,klassifisering,
14020,firstreg_14020,TypeRegistrering,type registrering,N,Nye kjøretøy,,klassifisering,
14020,firstreg_14020,DrivstoffType,drivstofftype,19,Elektrisk/nullutslipp,,klassifisering,
14020,firstreg_14020,DrivstoffType,drivstofftype,20,Fossil,,klassifisering,
14020,firstreg_14020,DrivstoffType,drivstofftype,21,Hybrid,,klassifisering,
14020,firstreg_14020,DrivstoffType,drivstofftype,6,Annet drivstoff,,klassifisering,
14020,firstreg_14020,ContentsCode,statistikkvariabel,Personbiler,Personbiler,kjøretøy,statistikkvariabel,
14020,firstreg_14020,ContentsCode,statistikkvariabel,VareCampBiler,Vare- og campingbiler,kjøretøy,statistikkvariabel,
14020,firstreg_14020,Tid,måned,1995M01--2026M07,379 perioder (måned),,tid,
12906,firstreg_12906,(tabell),"12906: Førstegangsregistrerte kjøretøy, etter type registrering, euroklasser og drivstofftype (K) 2019-2024",note1,,,tabellnote,Fra og med statistikkåret 2024 får kjøretøy med uoppgitt kommune- og fylkeskode koder 9999 Uoppgitt kommune og 99 Uoppgitt fylke. Til og med statistikkåret 2023 er slike kjøretøy forsøkt tilordnet kommuner ut fra annen eierinformasjon.
12906,firstreg_12906,(tabell),"12906: Førstegangsregistrerte kjøretøy, etter type registrering, euroklasser og drivstofftype (K) 2019-2024",note2,,,tabellnote,Fra og med statistikkåret 2025 er kjøretøy med registrerte leasingtakere plassert i leasingtakernes kommuner/fylker. Til og med statistikkåret 2024 er slike kjøretøy plassert i eiernes kommuner/fylker. Dette er på grunn av obligatorisk registering av leasingtakere i Kjøretøyregisteret fra 1. mars 2025.
12906,firstreg_12906,(tabell),"12906: Førstegangsregistrerte kjøretøy, etter type registrering, euroklasser og drivstofftype (K) 2019-2024",note3,,,tabellnote,Nullutslippskjøretøy er dels kategorisert som euroklasse «Euro-0» og dels som euroklasse «Euro-6».
12906,firstreg_12906,Region,region,0,Hele landet,,klassifisering,
12906,firstreg_12906,TypeRegistrering,type registrering,B,Bruktimporterte kjøretøy,,klassifisering,
12906,firstreg_12906,TypeRegistrering,type registrering,N,Nye kjøretøy,,klassifisering,
12906,firstreg_12906,DrivstoffType,drivstofftype,1,Bensin,,klassifisering,
12906,firstreg_12906,DrivstoffType,drivstofftype,13,Hydrogen,,klassifisering,
12906,firstreg_12906,DrivstoffType,drivstofftype,14,"Bensin hybrid, ladbar",,klassifisering,
12906,firstreg_12906,DrivstoffType,drivstofftype,15,"Bensin hybrid, ikke ladbar",,klassifisering,
12906,firstreg_12906,DrivstoffType,drivstofftype,16,"Diesel hybrid, ladbar",,klassifisering,
12906,firstreg_12906,DrivstoffType,drivstofftype,17,"Diesel hybrid, ikke ladbar",,klassifisering,
12906,firstreg_12906,DrivstoffType,drivstofftype,2,Diesel,,klassifisering,
12906,firstreg_12906,DrivstoffType,drivstofftype,3,Parafin,,klassifisering,
12906,firstreg_12906,DrivstoffType,drivstofftype,4,Gass,,klassifisering,
12906,firstreg_12906,DrivstoffType,drivstofftype,5,El.,,klassifisering,
12906,firstreg_12906,DrivstoffType,drivstofftype,6,Annet drivstoff,,klassifisering,
12906,firstreg_12906,ContentsCode,statistikkvariabel,Ambulanse2,Ambulanser,kjøretøy,statistikkvariabel,
12906,firstreg_12906,ContentsCode,statistikkvariabel,Bobiler,Bobiler,kjøretøy,statistikkvariabel,
12906,firstreg_12906,ContentsCode,statistikkvariabel,Kombibil5,Kombinerte biler,kjøretøy,statistikkvariabel,
12906,firstreg_12906,ContentsCode,statistikkvariabel,Personbil1,Personbiler,kjøretøy,statistikkvariabel,
12906,firstreg_12906,ContentsCode,statistikkvariabel,Varebil4,Varebiler,kjøretøy,statistikkvariabel,
12906,firstreg_12906,Tid,år,2019--2025,7 perioder (år),,tid,
07849,stock_07849,(tabell),"07849: Drivstofftype, type kjøring og kjøretøygrupper (K) 2008-2024",note1,,,tabellnote,Annet drivstoff inneholder hovedsakelig hybrid.
07849,stock_07849,(tabell),"07849: Drivstofftype, type kjøring og kjøretøygrupper (K) 2008-2024",note2,,,tabellnote,Fra og med statistikkåret 2024 får kjøretøy med uoppgitt kommune- og fylkeskode koder 9999 Uoppgitt kommune og 99 Uoppgitt fylke. Til og med statistikkåret 2023 er slike kjøretøy forsøkt tilordnet kommuner ut fra annen eierinformasjon.
07849,stock_07849,(tabell),"07849: Drivstofftype, type kjøring og kjøretøygrupper (K) 2008-2024",note3,,,tabellnote,Fra og med statistikkåret 2025 er kjøretøy med registrerte leasingtakere plassert i leasingtakernes kommuner/fylker. Til og med statistikkåret 2024 er slike kjøretøy plassert i eiernes kommuner/fylker. Dette er på grunn av obligatorisk registering av leasingtakere i Kjøretøyregisteret fra 1. mars 2025.
07849,stock_07849,Region,region,0,Hele landet,,klassifisering,
07849,stock_07849,DrivstoffType,drivstofftype,1,Bensin,,klassifisering,
07849,stock_07849,DrivstoffType,drivstofftype,2,Diesel,,klassifisering,
07849,stock_07849,DrivstoffType,drivstofftype,3,Parafin,,klassifisering,
07849,stock_07849,DrivstoffType,drivstofftype,4,Gass,,klassifisering,
07849,stock_07849,DrivstoffType,drivstofftype,5,El.,,klassifisering,
07849,stock_07849,DrivstoffType,drivstofftype,6,Annet drivstoff,,klassifisering,
07849,stock_07849,ContentsCode,statistikkvariabel,Personbil1,Personbiler,kjøretøy,statistikkvariabel,
07849,stock_07849,ContentsCode,statistikkvariabel,Varebil4,Varebiler,kjøretøy,statistikkvariabel,
07849,stock_07849,Tid,år,2008--2025,18 perioder (år),,tid,
12577,km_12577,(tabell),"12577: Kjørelengder, etter kjøretøytype og drivstofftype 2005-2024",note1,,,tabellnote,"En mer detaljert modell for beregning av kjørelengder ble utviklet i 2018 (se Om statistikken). 21. mars 2019 ble det publisert nye tall for 2018 og justerte tall for 2016 og 2017 beregnet med den nye modellen. Selv om omleggingen fra gammel til ny modell generelt sett har begrenset virkning på kjørelengdene i statistikken, vil det være noen avvik i forhold til tidligere publiserte tall for 2016 og 2017."
12577,km_12577,(tabell),"12577: Kjørelengder, etter kjøretøytype og drivstofftype 2005-2024",note2,,,tabellnote,"Drivstofftype Andre drivstoff: Inkluderer parafin, gass og hydrogen fram til og med 2015. Bensin- og dieselhybrider: Bensin- og dieselhybrider ble i hovedsak registrert som ordinære bensin- og dieselbiler fram til og med 2015."
