source_id,utgiver,tabell_dokument,url,variabel,definisjon,enhet,frekvens,geografisk_niva,tidsdekning,uttrekksdato,revisjonsstatus,lisens,transformasjoner,kontrollstatus,kjente_begrensninger
ssb_03687,Statistisk sentralbyrå,"Statbanktabell 03687: Salg av petroleumsprodukter, etter kjøpegruppe og produkt",https://www.ssb.no/statbank/table/03687,salg_petroleumsprodukter,"Månedlig salg av petroleumsprodukter etter kjøpegruppe, produkt og fylke; foreløpige tall (F)",mill. liter,måned,fylke og hele landet,1995M01-2016M07,2026-08-10,avsluttet serie; foreløpige tall,NLOD (verifisert på ssb.no/informasjon/copyright 2026-08-10),ingen; råsvar cachet i analysis/design_gate/api_cache,verifisert_api,"Produktet Diesel er udelt; empirisk bekreftet lik autodiesel+anleggsdiesel i 11174 (median 0,0 %, maks 2,5 %). Totalen omfatter bl.a. bunkers og skal ikke skjøtes mot nyere tabeller"
ssb_11174,Statistisk sentralbyrå,"Statbanktabell 11174: Salg av petroleumsprodukter, etter kjøpegruppe og produkt",https://www.ssb.no/statbank/table/11174,salg_petroleumsprodukter,"Månedlig salg etter kjøpegruppe, produkt og fylke; bilbensin og autodiesel inkluderer iblandet biodrivstoff; foreløpige tall (F)",mill. liter,måned,fylke og hele landet,2010M01-2022M01,2026-08-10,avsluttet serie; korrigeringer 2021 dokumentert i noter,NLOD,ingen; råsvar cachet,verifisert_api,"SSB-note: tall f.o.m. 2020 ikke sammenlignbare med tidligere for autodiesel, marine gassoljer og totalen (for lav innsamling 2012-2019, korrigert fra 2020)"
ssb_13585,Statistisk sentralbyrå,"Statbanktabell 13585: Sal av petroleumsprodukt og flytande biodrivstoff, etter kjøpegruppe og produkt",https://www.ssb.no/statbank/table/13585,salg_petroleum_og_biodrivstoff,"Månedlig salg med tre måltall: totalt sal, sal av petroleumsprodukt (inkl. iblanda bio), sal av reint biodrivstoff; førebelse tal",mill. liter,måned,kun hele landet,2021M01-2026M06 (levande),2026-08-10,levande; mai 2025 retta 2025-07-23; publiseringslag ca. 3 veker,NLOD,ingen; råsvar cachet,verifisert_api,"Heile 2021 prikka for måltalla totalt og reint bio; petroleumsmåltalet komplett frå 2021M01. Reint bio 75-90 % dekning 2022-2026. Inga fylkesfordeling. Petroleumsmåltalet identisk med 11174 i einaste overlappsmånad 2022M01 (0,0 % avvik alle veiprodukter)"
ssb_09654,Statistisk sentralbyrå,Statbanktabell 09654: Priser på drivstoff,https://www.ssb.no/statbank/table/09654,drivstoffpriser,"Utsalgspriser bensin blyfri 95 og avgiftspliktig diesel",kr per liter,måned,hele landet,1986M08-2026M06,2026-08-10,levande,NLOD,ingen; råsvar cachet,verifisert_api,Nominelle priser; deflatering krever KPI-kobling (fase 1)
ssb_14020,Statistisk sentralbyrå,"Statbanktabell 14020: Førstegangsregistrerte kjøretøy, etter type registrering og drivstofftype",https://www.ssb.no/statbank/table/14020,forstegangsregistrerte,"Månedlige førstegangsregistreringer (nye + bruktimporterte) etter drivstofftype for personbiler, busser, vare-/campingbiler, lastebiler",antall kjøretøy,måned,hele landet,1995M01-2026M07,2026-08-10,levande,NLOD,ingen; råsvar cachet,verifisert_api,"Drivstoffdeling kun el/nullutslipp, fossil (udelt), hybrid, annet; bensin/diesel-deling av fossil finnes ikke her (jf. designport pkt. 8.2)"
ssb_07849,Statistisk sentralbyrå,"Statbanktabell 07849: Drivstofftype, type kjøring og kjøretøygrupper",https://www.ssb.no/statbank/table/07849,kjoretoybestand,"Registrerte kjøretøy per 31.12 etter drivstofftype, type kjøring og kjøretøygruppe",antall kjøretøy,år,kommune/fylke/hele landet,2008-2025,2026-08-10,levande,NLOD,KjoringensArt eliminert (summert av API) i fase 0-uttrekk,verifisert_api,"SSB-note: annet drivstoff inneholder hovedsakelig hybrid - ladbar/ikke-ladbar kan ikke skilles her. Leasingtakerplassering endret 2025 (regionalt); uoppgitt-koder fra 2024"
ssb_12576,Statistisk sentralbyrå,"Statbanktabell 12576: Kjørelengder, etter eierens bostedsfylke, hovedkjøretøytype og drivstofftype",https://www.ssb.no/statbank/table/12576,kjorelengder_fylke,Samlede kjørelengder for norskregistrerte kjøretøy,mill. km,år,fylke og hele landet,2005-2025,2026-08-10,levande; foreløpige tall (F),NLOD,ingen; råsvar cachet,verifisert_api,"Odometerbasert (EU-kontroll). Modellendring 2018 (justerte 2016-2017); registerbytte mars 2020 (avvik på detaljnivå 2019/2020); hybrider i bensin/diesel t.o.m. 2015"
ssb_12577,Statistisk sentralbyrå,"Statbanktabell 12577: Kjørelengder, etter kjøretøytype og drivstofftype",https://www.ssb.no/statbank/table/12577,kjorelengder_drivlinje,"Samlet kjørelengde og gjennomsnittlig kjørelengde per kjøretøy, full drivlinjedeling inkl. ladbar/ikke-ladbar hybrid",mill. km; km per kjøretøy,år,hele landet,2005-2025,2026-08-10,levande,NLOD,implisitt antall kjøretøy beregnet som total/gjennomsnitt i fase 0-analysen (merket konstruert),verifisert_api,"Som 12576. Dekker kjøretøy registrert i løpet av året - implisitt antall ligger 4,0 % (el) til 15,7 % (diesel) over 31.12-bestanden i 2025 (målt); kjøretøy uten EU-kontrollplikt (bl.a. over 50 år) inngår ikke"
ssb_12575_12578,Statistisk sentralbyrå,Statbanktabeller 12575/12578: Kjørelengder etter alder (og drivstofftype),https://www.ssb.no/statbank/table/12578,kjorelengder_alder,Kjørelengder etter kjøretøytype og alder (12578 også drivstofftype),mill. km; km per kjøretøy,år,hele landet,2005-2024,,levande,NLOD,ingen,identifisert_api_sok,Ikke uttrukket i fase 0; kandidat for overlevelses-/kohortutvidelse i fase 3
ssb_11561,Statistisk sentralbyrå,Statbanktabell 11561: Energibalanse. Tilgang og anvendelse av energiprodukter,https://www.ssb.no/statbank/table/11561,energibalanse_veitransport,"Post 12.2.1 Veitransport etter energiprodukt, bl.a. bensin (ekskl. bio), autodiesel (ekskl. bio), flytende biobrensler, elektrisitet",PJ og GWh,år,nasjonalt,1990-2024,2026-08-10,levande; endelige tall med etterslep,NLOD,kun post 12.2.1 uttrukket,verifisert_api,"Fordelingsmetoden for elektrisitet til veitransport er ikke dokumentert i det som er hentet (Om statistikken) - uavhengigheten av en modellberegning er uavklart kunnskapsgrense. Bensinposten svarer til implisitt 22,6-24,6 MJ/l mot solgt volum - indikerer vesentlig allokering utenfor vei; må avklares mot dokumentasjon"
