original_variabel,original_enhet,onsket_enhet,konvertering,kilde_konvertering,usikkerhet,kontrollstatus
salg petroleumsprodukter (03687/11174/13585),mill. liter,liter,multipliser med 1e6,matematisk identitet (SI-prefiks),ingen,verifisert
salg petroleumsprodukter,mill. liter,m3,multipliser med 1000,matematisk identitet (1 m3 = 1000 liter),ingen,verifisert
energibalanseposter (11561),PJ,GWh,"multipliser med 277,778","matematisk identitet (1 PJ = 1e15 J; 1 GWh = 3,6e12 J)",ingen,verifisert
energibalanseposter (11561),GWh,TWh,divider med 1000,matematisk identitet,ingen,verifisert
kjørelengde (12576/12577),mill. km,km,multipliser med 1e6,matematisk identitet,ingen,verifisert
energi,MJ,kWh,"multipliser med 0,27778","matematisk identitet (1 kWh = 3,6 MJ)",ingen,verifisert
drivstofforbruk personbil,liter per mil,liter per 100 km,multipliser med 10,matematisk identitet (1 mil = 10 km),ingen,verifisert
bilbensin volum (fossilprodukt),liter,MJ,"multipliser med 32,486 MJ/liter (= 43,9 GJ/tonn x 0,74 kg/liter; netto brennverdi)","SSB Notater 2018/45 vedlegg A, tabell A2 (tetthet) og A3 (energiinnhold), s. 51-52; lest 2026-08-10; implementert i src/veitransport_energi/energy.py med tester","NCV-gjennomsnittsverdier (kilden: faktisk energiinnhold varierer); gjelder fossilproduktet - iblandet bio har lavere faktorer og skal behandles separat (D-0018)",verifisert
autodiesel volum (fossilprodukt ekskl. bioandel),liter,MJ,"multipliser med 36,204 MJ/liter (= 43,1 GJ/tonn x 0,84 kg/liter; netto brennverdi)",som over ('Diesel ekskl. bioandel' i kildens tabeller),"som over; salgsvolumet i 13585/11174 inkluderer iblandet bio, så fossilfaktoren gjelder bare fossilandelen",verifisert
biodrivstoff-komponenter,liter,MJ,"biodiesel: 32,384 MJ/l (= 36,8 x 0,88); bioetanol: 21,199 MJ/l (= 26,8 x 0,791)",som over,"faktorene er verifiserte; ÅRLIG produktmiks i iblandingen (FAME/HVO/etanol-andeler) gjenstår som antakelse før salgsvolum kan energiomregnes fullt ut",delvis_verifisert - faktorer verifisert; miksandeler mangler kilde
elbil personbil energibruk,kWh/km,kWh/km,brukes direkte som scenarioparameter,"NVE-notat om transport og kraftsystemet (Spilde/Skotland): 0,2 kWh/km personbil (måledatabasert)",vesentlig: notatet er fra ca. 2016-2017 og omtaler ikke ladetap; moderne flåte kan avvike; varieres i sensitivitetsanalysen,verifisert_kilde_med_navngitte_svakheter
elbil varebil energibruk,kWh/km,kWh/km,brukes direkte som scenarioparameter,"samme kilde: 0,25 kWh/km varebil",som over,verifisert_kilde_med_navngitte_svakheter
kjøretøybestand (07849) mot kjøretøy-i-bruk (12577 implisitt),antall per 31.12,antall i bruk i året,INGEN konvertering - definisjonene holdes atskilt,egen konsistensmåling fase 0 (analyze_design_gate.py),"målt avvik 2025: el +4,0 %, bensin +5,8 %, diesel +15,7 % (i-bruk over 31.12-bestand)",dokumentert_definisjonsavvik
drivstoffpriser (09654),kr per liter (nominell),kr per liter (fast prisnivå),deflatering med KPI - tabellvalg ikke gjort,SSB konsumprisindeks (tabell velges i fase 1),avhenger av deflatorvalg,ikke_verifisert
